Series,Issues,Cover Date,On Sale Date
Fantastic Four (1961 - 1998),69,Dec. 1967,1967-12-01 05:00:00+00:00
Fantastic Four (1961 - 1998),70,Jan. 1968,1968-01-01 05:00:00+00:00
Fantastic Four (1961 - 1998),71,Feb. 1968,1968-02-01 05:00:00+00:00
Fantastic Four (1961 - 1998),72,Mar. 1968,1968-03-01 05:00:00+00:00
Fantastic Four (1961 - 1998),73,Apr. 1968,1968-04-01 05:00:00+00:00
Fantastic Four (1961 - 1998),74,May. 1968,1968-05-01 04:00:00+00:00
Fantastic Four (1961 - 1998),75,Jun. 1968,1968-06-01 04:00:00+00:00
Fantastic Four (1961 - 1998),76,Jul. 1968,1968-07-01 04:00:00+00:00
Fantastic Four (1961 - 1998),77,Aug. 1968,1968-08-01 04:00:00+00:00
Fantastic Four (1961 - 1998),78,Sep. 1968,1968-09-01 04:00:00+00:00
Fantastic Four (1961 - 1998),79,Oct. 1968,1968-10-01 04:00:00+00:00
Fantastic Four Annual (1963 - 1994),6,Nov. 1968,1968-11-01 05:00:00+00:00
Fantastic Four (1961 - 1998),80,Nov. 1968,1968-11-01 05:00:00+00:00
Fantastic Four (1961 - 1998),81,Dec. 1968,1968-12-01 05:00:00+00:00
Fantastic Four (1961 - 1998),82,Jan. 1969,1969-01-01 05:00:00+00:00
Fantastic Four (1961 - 1998),83,Feb. 1969,1969-02-01 05:00:00+00:00
Fantastic Four (1961 - 1998),84,Mar. 1969,1969-03-01 05:00:00+00:00
Fantastic Four (1961 - 1998),85,Apr. 1969,1969-04-01 05:00:00+00:00
Fantastic Four (1961 - 1998),86,May. 1969,1969-05-01 04:00:00+00:00
Fantastic Four (1961 - 1998),87,Jun. 1969,1969-06-01 04:00:00+00:00
Fantastic Four (1961 - 1998),88,Jul. 1969,1969-07-01 04:00:00+00:00
Fantastic Four (1961 - 1998),89,Aug. 1969,1969-08-01 04:00:00+00:00
Fantastic Four (1961 - 1998),90,Sep. 1969,1969-09-01 04:00:00+00:00
Fantastic Four (1961 - 1998),91,Oct. 1969,1969-10-01 04:00:00+00:00
Fantastic Four Annual (1963 - 1994),7,Nov. 1969,1969-11-01 05:00:00+00:00
Fantastic Four (1961 - 1998),92,Nov. 1969,1969-11-01 05:00:00+00:00
Fantastic Four (1961 - 1998),93,Dec. 1969,1969-12-01 05:00:00+00:00
Fantastic Four (1961 - 1998),94,Jan. 1970,1970-01-01 05:00:00+00:00
Fantastic Four (1961 - 1998),95,Feb. 1970,1970-02-01 05:00:00+00:00
Fantastic Four (1961 - 1998),96,Mar. 1970,1970-03-01 05:00:00+00:00
Fantastic Four (1961 - 1998),97,Apr. 1970,1970-04-01 05:00:00+00:00
Fantastic Four (1961 - 1998),98,May. 1970,1970-05-01 04:00:00+00:00
Fantastic Four (1961 - 1998),99,Jun. 1970,1970-06-01 04:00:00+00:00
Fantastic Four (1961 - 1998),100,Jul. 1970,1970-07-01 04:00:00+00:00
Fantastic Four (1961 - 1998),101,Aug. 1970,1970-08-01 04:00:00+00:00
Fantastic Four (1961 - 1998),102,Sep. 1970,1970-09-01 04:00:00+00:00
Fantastic Four (1961 - 1998),103,Oct. 1970,1970-10-01 04:00:00+00:00
Fantastic Four (1961 - 1998),104,Nov. 1970,1970-11-01 05:00:00+00:00
Fantastic Four (1961 - 1998),105,Dec. 1970,1970-12-01 05:00:00+00:00
Fantastic Four Annual (1963 - 1994),8,Dec. 1970,1970-12-08 05:00:00+00:00
Fantastic Four (1961 - 1998),106,Jan. 1971,1971-01-01 05:00:00+00:00
Fantastic Four (1961 - 1998),107,Feb. 1971,1971-02-01 05:00:00+00:00
Fantastic Four (1961 - 1998),108,Mar. 1971,1971-03-01 05:00:00+00:00
Fantastic Four (1961 - 1998),109,Apr. 1971,1971-04-01 05:00:00+00:00
Fantastic Four (1961 - 1998),110,May. 1971,1971-05-01 04:00:00+00:00
Fantastic Four (1961 - 1998),111,Jun. 1971,1971-06-01 04:00:00+00:00
Fantastic Four (1961 - 1998),112,Jul. 1971,1971-07-01 04:00:00+00:00
Fantastic Four (1961 - 1998),113,Aug. 1971,1971-08-01 04:00:00+00:00
Fantastic Four (1961 - 1998),114,Sep. 1971,1971-09-01 04:00:00+00:00
Fantastic Four (1961 - 1998),115,Oct. 1971,1971-10-01 04:00:00+00:00
Fantastic Four (1961 - 1998),116,Nov. 1971,1971-11-01 05:00:00+00:00
Fantastic Four (1961 - 1998),117,Dec. 1971,1971-12-01 05:00:00+00:00
Fantastic Four Annual (1963 - 1994),9,Dec. 1971,1971-12-09 05:00:00+00:00
Fantastic Four (1961 - 1998),118,Jan. 1972,1972-01-01 05:00:00+00:00
Fantastic Four (1961 - 1998),119,Feb. 1972,1972-02-01 05:00:00+00:00
Fantastic Four (1961 - 1998),120,Mar. 1972,1972-03-01 05:00:00+00:00
Fantastic Four (1961 - 1998),121,Apr. 1972,1972-04-01 05:00:00+00:00
Fantastic Four (1961 - 1998),122,May. 1972,1972-05-01 04:00:00+00:00
Fantastic Four (1961 - 1998),123,Jun. 1972,1972-06-01 04:00:00+00:00
Fantastic Four (1961 - 1998),124,Jul. 1972,1972-07-01 04:00:00+00:00
Fantastic Four (1961 - 1998),125,Aug. 1972,1972-08-01 04:00:00+00:00
Fantastic Four (1961 - 1998),126,Sep. 1972,1972-09-01 04:00:00+00:00
Fantastic Four (1961 - 1998),127,Oct. 1972,1972-10-01 04:00:00+00:00
Fantastic Four (1961 - 1998),128,Nov. 1972,1972-11-01 05:00:00+00:00
Fantastic Four (1961 - 1998),129,Dec. 1972,1972-12-01 05:00:00+00:00
Fantastic Four (1961 - 1998),130,Jan. 1973,1973-01-01 05:00:00+00:00
Fantastic Four (1961 - 1998),131,Feb. 1973,1973-02-01 05:00:00+00:00
Fantastic Four (1961 - 1998),132,Mar. 1973,1973-03-01 05:00:00+00:00
Fantastic Four Annual (1963 - 1994),10,Mar. 1973,1973-03-10 05:00:00+00:00
Fantastic Four (1961 - 1998),133,Apr. 1973,1973-04-01 05:00:00+00:00
Fantastic Four (1961 - 1998),134,May. 1973,1973-05-01 04:00:00+00:00
Fantastic Four (1961 - 1998),135,Jun. 1973,1973-06-01 04:00:00+00:00
Fantastic Four (1961 - 1998),136,Jul. 1973,1973-07-01 04:00:00+00:00
Fantastic Four (1961 - 1998),137,Aug. 1973,1973-08-01 04:00:00+00:00
