Series,Issues,Cover Date,On Sale Date
The Amazing Spider-Man (1963 - 1998),63,Aug. 1968,1968-08-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),64,Sep. 1968,1968-09-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),65,Oct. 1968,1968-10-01 04:00:00+00:00
Amazing Spider-Man Annual (1964 - 2018),5,Nov. 1968,1968-11-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),66,Nov. 1968,1968-11-01 05:00:00+00:00
Spectacular Spider-Man (1968),2,Nov. 1968,1968-11-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),67,Dec. 1968,1968-12-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),68,Jan. 1969,1969-01-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),69,Feb. 1969,1969-02-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),70,Mar. 1969,1969-03-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),71,Apr. 1969,1969-04-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),72,May. 1969,1969-05-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),73,Jun. 1969,1969-06-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),74,Jul. 1969,1969-07-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),75,Aug. 1969,1969-08-10 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),76,Sep. 1969,1969-09-10 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),77,Oct. 1969,1969-10-10 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),78,Nov. 1969,1969-11-01 05:00:00+00:00
Amazing Spider-Man Annual (1964 - 2018),6,Nov. 1969,1969-11-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),79,Dec. 1969,1969-12-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),80,Jan. 1970,1970-01-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),81,Feb. 1970,1970-02-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),82,Mar. 1970,1970-03-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),83,Apr. 1970,1970-04-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),84,May. 1970,1970-05-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),85,Jun. 1970,1970-06-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),86,Jul. 1970,1970-07-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),87,Aug. 1970,1970-08-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),88,Sep. 1970,1970-09-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),89,Oct. 1970,1970-10-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),90,Nov. 1970,1970-11-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),91,Dec. 1970,1970-12-01 05:00:00+00:00
Amazing Spider-Man Annual (1964 - 2018),7,Dec. 1970,1970-12-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),92,Jan. 1971,1971-01-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),93,Feb. 1971,1971-02-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),94,Mar. 1971,1971-03-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),95,Apr. 1971,1971-04-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),96,May. 1971,1971-05-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),97,Jun. 1971,1971-06-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),98,Jul. 1971,1971-07-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),99,Aug. 1971,1971-08-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),100,Sep. 1971,1971-09-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),101,Oct. 1971,1971-10-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),102,Nov. 1971,1971-11-01 05:00:00+00:00
Amazing Spider-Man Annual (1964 - 2018),8,Dec. 1971,1971-12-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),103,Dec. 1971,1971-12-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),104,Jan. 1972,1972-01-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),105,Feb. 1972,1972-02-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),106,Mar. 1972,1972-03-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),107,Apr. 1972,1972-04-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),108,May. 1972,1972-05-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),109,Jun. 1972,1972-06-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),110,Jul. 1972,1972-07-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),111,Aug. 1972,1972-08-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),112,Sep. 1972,1972-09-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),113,Oct. 1972,1972-10-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),114,Nov. 1972,1972-11-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),115,Dec. 1972,1972-12-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),116,Jan. 1973,1973-01-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),117,Feb. 1973,1973-02-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),118,Mar. 1973,1973-03-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),119,Apr. 1973,1973-04-01 05:00:00+00:00
The Amazing Spider-Man (1963 - 1998),120,May. 1973,1973-05-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),121,Jun. 1973,1973-06-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),122,Jul. 1973,1973-07-01 04:00:00+00:00
The Amazing Spider-Man (1963 - 1998),123,Aug. 1973,1973-08-01 04:00:00+00:00
