,points
"EICHMANN, ADOLPH",1024
"SPANDIDAKIS, GREGORY E.",1024
"HAACK, ROBERT WILLIAM",1024
"AWADALLAH, ABUBAKR",1024
"Taylor, Robert",1024
"FITZPATRICK, LINDA RAE",1024
"SCREVANE, PAUL R.",1024
"CAVANAGH, EDWARD F JR.",1024
"MAYAKOVSKY, VLADIMIR",1024
"Frazier, Joe",1024
"BACON, LESLIE",1024
"ARBATOV, GEORGI A.",1024
"PLAZA LASSO, GALO",1024
"MICHELMORE, LAURENCE VICTOR",1024
"Karami, Rashid",1024
"ANDERSON, GEORGE W JR.",1024
"ODRIA, MANUEL A.",1024
NGUYEN DUY TRINH,1024
"CECERE, DANIEL",1024
"Carmichael, Stokely",1024
"DUBOS, RENE JULES",1024
"SHRIVER, R SARGENT JR.",1024
"CAREY, JAMES B.",1024
"CLARIZIO, EMANUELE",1024
"Gielgud, John",1024
"ZAYYAT, MOHAMMED H EL‐",1024
"Khaled, Leila",1024
LAM VAN PHAT,1024
"MORHOUSE, L JUDSON",1024
"CULLIGAN, MATTHEW J.",1024
"VELASCO IBARRA, JOSE",1024
"GRANT, WILLIAM T",1024
"HASLUCK, PAUL MEERNA CAEDWALLA",1024
"WILLIAMS, HOSEA L",1024
"THOREZ, MAURICE",1023
"HUNT, HAROLDSON LAFAYETTE",1023
"Rajagopalachari, Chakravarti",1023
"VAN DOREN, MARK",1023
"GROSSINGER, JENNIE",1023
"POWERS, JOHN A",1023
"Musto, David F",1023
"SMITH, WILLIE J",1023
"DAWALIBI, MAARAUF",1023
"Glenn, John Herschel Jr",1023
"ROCHET, WALDECK",1023
"Hofstadter, Richard",1023
"SHEA, WM F.",1023
"ROCKWELL, GEORGE LINCOLN",1023
"Rudd, Mark",1023
"Sampson, Anthony",1023
"BELLOTTI, FRANCIS XAVIER",1023
"LANDRUM, PHIL M.",1023
"Fitzgerald, Frances",1023
"SOKOLOV, ALEKSANDR",1023
"GROTEWOHL, OTTO",1023
"FREDERIK IX, KING OF DENMARK",1023
"BROWNELL, HERBERT JR.",1023
"GRUENING, ERNEST",1023
"Bandaranaike, Sirimavo",1023
"REYNAUD, PAUL",1023
"ALFRINK, BERNARD",1023
"SHANNON, JAMES P",1023
"CULLMAN, JOSEPH F 3D",1023
"CARRILLO FLORES, ANTONIO",1023
"Hodgkin, Alan Lloyd",1023
"HUXLEY, ANDREW FIELDING",1023
"RATTENNI, NICHOLAS A.",1023
"O'Hanlon, Virginia",1023
"Vallieres, Pierre",1023
"SCHANBERG, SYDNEY H.",1023
"Minnelli, Liza",1023
"BRADLEY, THOMAS",1023
"Griswold, Erwin N",1023
"POWELL, JOHN ENOCH",1023
"KNOWLES, JOHN H",1023
ALEXANDER OF TUNIS,1023
"JONES, FREDERICK D.",1023
"SHONIN, GEORGI S",1023
KEOGH J VINCENT,1023
QUINIM PHOLSENA,1023
"DE CARLO, ANGELO",1023
"TSAFENDAS , DIMITRIO",1023
"SPECK, RICHARD FRANKLIN",1023
"MARSHAK, ROBERT E",1023
"BUTENKO, J W, CASE",1023
"MUSKIE, EDMUND S.",1023
AESCHYLUS,1023
"AGUINALDO, EMILIO",1023
"ALDRICH, RICHARD S.",1023
"ZUBER, PAUL BURGESS",1023
"STELLE, CHARLES C.",1023
"KENNEDY, JOSEPH P SR",1023
"STEPHANOPOULOS, STEPHANOS",1023
"ALFIDI, JOEY",1023
"Livingston, David",1023
"ROCHE, JAMES M.",1023
"CHANEL, GABRIELLE",1023
"MCCLELLAN, JOHN L",1023
"BUCHER, GIOVANNI ENRICO",1023
"QUIGLEY, JAMES M.",1023
B BRECHT,1023
"COMAY, MICHAEL S.",1023
"Szilard, Leo",1023
"RAM, JAGJIVAN",1023
"Soares, Mario",1023
"JUAN, PRINCE OF SPAIN",1023
"SUKHODREV, VIKTOR MIKHAILOVICH",1023
"MACKELL, THOMAS JAMES",1023
"SIDAROUS, STEPHANOUS I.",1023
"YOUNG, FRED A JR.",1023
"IMBERT BARRERAS, ANTONIO",1023
"VEALEY, CLAUDE E.",1023
"SHOTWELL, JAS T",1023
"Brecht, Bertolt",1023
"DAVIDSON, IRWIN D.",1023
"KLAUS, JOSEF",1023
"ARGUEDAS MENDIETTA, ANTONIO",1023
TRAN VAN DON,1023
"RHODES, JAMES A",1023
"FOSTER, WM CHAPMAN",1023
"LIE, TRYGVE",1023
"COLOTKA, PETR",1023
"EWING, WINIFRED",1023
"PATAKOS, STYLIANOS",1023
"RASKIN, A H.",1023
BOYD ORR,1023
"Johnson, Alvin",1023
"TITO, JOVANKA",1023
"BAYNE, STEPHEN F JR.",1023
"ECHEVERRIA ALVAREZ, LUIS",1023
Vo Nguyen Giap,1023
"MOTT, NEWCOMB",1023
"Brook, Peter",1023
"DELLENBACK, JOHN R",1023
"OPPENHEIMER, J R",1023
"SHAZAR, SCHNEOR ZALMAN",1023
"RUSSELL, BERTRAND ARTHUR WM.",1023
"USTINOV, DMITRI F.",1023
"KOZLOV, FROL REMANOVICH",1023
"WELCH, LEO D.",1023
"ROBERTS, ARCH E.",1023
"CARY, MELBERT B JR",1023
"GORTON, JOHN GREY",1023
"WESTIN, ALAN F",1023
"POGGI, RAUL ALEJANDRO",1023
"Bumpers, Dale",1023
"DAVIDSON, ROY E.",1023
"RASPUTIN, GRIGORI YEFEMOVICH",1023
"Vann, John Paul",1023
"Balenciaga, Cristobal",1023
"Edel, Leon",1023
"Norell, Norman",1023
"DEGNAN, WALTER J",1023
"AHIDJO, AHMADOU",1023
"THEOBALD, JOHN J.",1023
"ROSTOW, WALT W.",1023
"Scopes, John Thomas",1023
"CARDENAS, LAZARO",1023
"Pepys, Samuel",1023
"OHRBACH, NATHAN M",1023
"RICKLES, ROBERT N",1023
"PITTMAN, JIM",1023
"Cerf, Bennett",1023
"HORN, CARL CARLSSON VON",1023
"FELKNOR, BRUCE L.",1023
"FINLETTER, THOMAS KNIGHT",1023
"BAR-LEV, CHAIM",1023
"AMIN, NURUL",1023
"BERMAN, FREDERIC SANFORD",1023
"Irving, Clifford",1023
"MARGARET ROSE, PRINCESS OF GB",1022
"GALAMISON, MILTON A",1022
"MARCUS, JAMES L",1022
"BLATT, SOLOMON",1022
"GREAVES, CONRAD",1022
"RITTER, JOSEPH ELMER",1022
"SINGH, SARDAR SWARAN",1022
"BLUESTONE, IRVING J.",1022
"FARRA, MUHAMMAD H EL-",1022
"BRAMBLETT, EARL",1022
"MCKAY, DAVID O.",1022
"FORD, FORD MADOX",1022
"LOWERY, ROBERT O.",1022
"PHILLIPS, MCCANDLISH",1022
"HALLENBECK, GEORGE AARON",1022
"YANI, AHMAD",1022
"LEARY, TIMOTHY L",1022
QUAISON-SACKEY ALEX,1022
"Kelsey, Frances Oldham",1022
TRAN VAN DO,1022
"LAWRENCE, DAVID L.",1022
"MEDEIROS, HUMBERTO S",1022
"KOCH, EDWARD I.",1022
"JOHNSTON, OLIN D.",1022
"MIKOYAN, ANASTAS IVANOVICH",1022
"CELLER, EMANUEL)",1022
"SCHIEFFELIN, COOPER",1022
"COLEMAN, JAMES PLEMMON",1022
"MANSON, CHARLES M.",1022
"GILLIGAN, JOHN J.",1022
"FAIRBANK, JOHN KING",1022
"CHALID, KIAI HAJI IDHAM",1022
"Cooper, Irving Ben",1022
"KIMBA, EVARISTE",1022
"MUNONGO, GODEFROID",1022
"MAZZILLI, RANIERI",1022
"SAUD IBN ABDUL AXIS, KING OF SAUDI ARABIA",1022
"MCNAMARA, ROBERT S.",1022
"MORHOUSE, LYMAN JUDSON",1022
"ARINOS DE MELO FRANCO, AFONSO",1022
"COUSINS, NORMAN",1022
"Russell, George",1022
"GREEN, JAMES EARL",1022
"Burke, Billie",1022
"CAVANAGH, EDWARD F. JR.",1022
"ANDERSON, MARIAN",1022
"BEINECKE, EDWIN JOHN",1022
"EUSTIS, RALPH W",1022
"POWELL, WESLEY J.",1022
"JENKINS, ROY HARRIS",1022
"SMITH, JOSEPH FIELDING JR.",1022
"WALKER, JOSEPH A.",1022
"JAVITS, ERIC M.",1022
"BUSH, JOSEPH",1022
"STEIN, MORRIS J.",1022
"SOUPHANOUVONG, PRINCE",1022
"GALAMISON, MILTON A.",1022
"GALLASHAW, ERNEST",1022
"McGill, William J",1022
"IACOCCA, LEE A.",1022
TRUONG CHINH,1022
"ELBRICK, C BURKE",1022
"WEXLER, JACQUELINE GRENNAN",1022
"YOUNG, GEORGE H JR",1022
"CHANDLER, PORTER R.",1022
"Sulzberger, Edward",1022
"STALEY, OREN LEE",1022
"HYDERABAD, NIZAM OF",1022
"CREW, DAVID E",1022
"BYRD, HARRY FLOOD",1022
"HUSSEIN I, KING OF HASHEMITE JORDAN",1022
"FAWZI, MAHMOUD",1022
"LOPEZ, SALVADOR P.",1022
"NIKOLAYEV, ANDRIAN G.",1022
"HAYWOOD, MARGARET A.",1022
"GANTT, HARVEY BERNARD",1022
"MOBUTU, JOSEPH DESIRE",1022
"GREENBERG, SAMUEL L.",1022
"OTTAVIANI, ALFREDO",1022
"Coolidge, Calvin",1022
"Auden, Wystan Hugh",1022
"SAUVAGNARQUES, JEAN",1022
"SAUD IBN ABDUL AZIZ, KING OF SAUDI ARABIA",1022
"MAKAREZOS, NIKOLAS",1022
"CHURCHILL, WINSTON SPENCER 3D",1022
"Banda, Hastings Kamuzu",1022
"SNOWDEN, JIMMIE",1022
"COHEN, MILTON H.",1022
"NIMEIRY, GAAFAR MOHAMMED AL‐",1022
"NUR OSMAN, BABAKR AL‐",1022
"PIAGENTINI, JOSEPH A",1022
"BRONSTON, JACK E.",1022
"MILLER, WILLIAM EDWARD",1022
"BURCH, DEAN",1022
"DONLON, ROGER H C",1022
"O'DWYER, WM",1022
"SWIDLER, JOSEPH C.",1022
"BEAVERBROOK, LORD",1022
"NAMER, HUSSEIN",1022
"ROBB, LUCINDA DESHA",1022
"COSTIKYAN, EDWARD N.",1022
"Kenyatta, Jomo",1022
"BOLZ, LOTHAR",1022
"NICOLSON, HAROLD",1022
"Solzhenitsyn, Aleksandr I",1022
"STRALEY, WALTER W.",1022
"RUBIN, MAX JACOB",1022
"Djilas, Milovan",1022
"CHIARI, ROBERTO FRANCISCO",1022
"YDIGORAS FUENTES, MANUEL",1022
"KRIEGEL, FRANTISEK",1022
"PROFUMO, JOHN DENNIS",1022
"TAFT, ROBERT JR.",1022
"CLARK, JOSEPH SILL JR.",1022
"ERALP, ORHAN",1022
"EPSTEIN, MARTIN C.",1022
"CABOT, JOHN MOORS",1022
"HORNIG, DONALD FREDERICK",1021
"Calvin, Melvin",1021
"Sirikit, Queen of Thailand",1021
"ABPLANALP, ROBERT H.",1021
"GIMBEL, BERNARD F",1021
TRAN VAN CHUONG,1021
"WOLFSON, LOUIS E.",1021
WEI TAO-MING,1021
"WEINGLASS, LEONARD I.",1021
"PATIL, S K.",1021
ROA GARCIA RAUL,1021
"LEVIN, YEHUDA LEIB",1021
"Hecht, Robert",1021
BUI DIEM,1021
"O'MALLEY, ROBERT EMMETT",1021
"GOODMAN, ROY MATZ",1021
"SIKKIM, MAHARANI OF",1021
"LACEY, FREDERICK B",1021
"KNOWLTON, WILLIAM A",1021
"PROUTY, WINSTON L.",1021
"THORNEYCROFT, PETER",1021
"SCHAFFER, MICHAEL",1021
"BENTSEN, LLOYD M JR.",1021
"SMITH, PRESTON E",1021
"KEKKONEN, URHO K.",1021
"GRISWOLD, S SMITH",1021
"HAMENGKU BUWONO IX, SULTAN OF JOGJAKARTA",1021
"Malamud, Bernard",1021
"ABDULLAH, MUSTAFA",1021
"OBREMSKI, ANTHONY",1021
"PEREZ GODOY, RICARDO",1021
"MAGADDINO, STEFANO",1021
"GROVES, LESLIE R",1021
"PAPANDREOU, ANDREAS GEORGE",1021
"Castro, Raul",1021
"VALENTI, JACK JOSEPH",1021
"KERENSKY, ALEXANDER FYODOROVICH",1021
"Gruson, Sydney",1021
"JAHN, GUNNAR",1021
"CHAYET, CLAUDE",1021
"DOWDY, JOHN",1021
"MCCARTHY, EUGENE JOSEPH",1021
DO CAO TRI,1021
"BRODERICK, VINCENT L.",1021
"SOPHIA, PRINCESS OF GREECE",1021
"PENNEY, JAMES CASH",1021
"HEINEMANN, GUSTAV",1021
"HARLECH, LORD",1021
"SCHUETZ, KLAUS",1021
"Rodriguez, Carlos Rafael",1021
HUAHG CHEN,1021
"HUGGINS, ERICKA",1021
"Caramanlis, Constantine",1021
"Gibson, Kenneth A",1021
"HANSEN, CARL FRANCIS",1021
"Barton, Bruce",1021
G S KAUFMAN,1021
"ROBENS, ALF",1021
"ULBRICHT, WALTER ERNST KARL",1021
"MAHEU, ROBERT A.",1021
"RICKOVER, HYMAN G.",1021
"MIKOYAN, ARTEM IVANOVICH",1021
"BRIMMER, ANDREW F.",1021
LIU CHIEH,1021
"DE PAUW, GOMMAR A.",1021
"HOLTON, KARL",1021
"HORST, JAMES F.",1021
"ALSOGARAY, ALVARO CARLOS",1021
"O'BOYLE, PATRICK ALOYSIUS",1021
"SALINGER, PIERRE E G.",1021
S YELLEN,1021
"BRIZOLA, LEONEL",1021
"ROTHSCHILD, WALTER N JR.",1021
"SLOAN, ALFRED PRITCHARD JR",1021
"CAMPORA, HECTOR J",1021
"PERUTZ, MAX FERDINAND",1021
"MARCHAND, JEAN",1021
"SNOW, EDGAR PARKS",1021
"O'DONNELL, P KENNETH",1021
"ATTASSI, LOUAI AL",1021
"ROSSETTI, FRANK G.",1021
"BIRBACH, JERRY",1021
"Sackler, Howard",1021
"Orwell, George",1021
"PEREZ, LEANDER H SR.",1021
"O'BRIEN, LESLIE",1021
"MILLER, ARJAY R.",1021
"DRUMMOND, NELSON CORNELIOUS",1021
"KNUDSEN, SEMON E.",1021
"MIDONICK, MILLARD L",1021
"HELMS, RICHARD MCGARRAH",1021
"GAHERIN, JOHN J.",1021
"IMPELLITTERI, VINCENT RICHARD",1021
"SMITH, RICHARD JOYCE",1021
"PISANI, EDGARD",1021
"CARRERAS, MARINO BARTOLOME",1021
"KALONJI, ALBERT",1021
"KRAG, JENS OTTO",1021
"WRIGHT, J SKELLY",1021
"Perkins, Frances",1021
"CAHN, WM.",1021
"KLOTZ, HERBERT W",1021
"PATSAYEV, VIKTOR I.",1021
"GRINDLE, PAUL DAVIDSON",1021
"HOCHMUTH, BRUNO A",1021
"PHILBY, HAROLD ADRIAN RUSSELL",1021
"LUCET, CHARLES E.",1021
"NIXON, F DONALD",1021
"HUGHES, FREDERIC J JR",1021
"GARCIA-GODOY, HECTOR",1021
"GRIBBS, ROMAN S",1021
"DELVALLE, MAX",1021
"BLUMENTHAL, ALBERT H",1021
"MASARYK, JAN",1021
"RUBY, JACK",1021
"WEYGAND, MAXIME",1021
"ALTMAN, BENJAMIN",1020
SOUVANNA PHOUMA,1020
"COLOMBO, ANTHONY",1020
"REID, HELEN ROGERS",1020
"MAGNUSON, WARREN G.",1020
"SHEHU, MEHMET",1020
"ALEXANDER, HENRY CLAY",1020
"Gordon, Lincoln",1020
"FOLSOM, MARION BAYARD",1020
"CHRISTIAN, GEORGE",1020
"HADDON, WILLIAM JR.",1020
"NJAIM, JEAN",1020
"HELOU, CHARLES",1020
"CARPENTER, MARJORIE A.",1020
"BALLUKU, BEQIR",1020
"DUFFY, JAMES B",1020
"CONNOR, JOHN T.",1020
"WEISL, EDWIN L SR.",1020
"HILSMAN, ROGER JR.",1020
"Evans, George",1020
"SHAPIRO, ROTE",1020
"SCOTTO, ANTHONY M.",1020
"MCLAUGHLIN, LEO",1020
"BROWN, GEORGE HAY",1020
"FIALLO, VIRIATO ALBERTO",1020
"GREENE, WALLACE M JR.",1020
PHUMIPHON ADUNDET,1020
S SONDHEIM,1020
"SOSA RODRIGUEZ, CARLOS",1020
"DIAMOND, WILLIAM J.",1020
"THOMSEN, ROSZEL C",1020
"MUSTE, ABRAHAM JOHN",1020
"BUDGE, HAMER H",1020
"HERTER, CHRISTIAN ARCHIBALD",1020
"WAGNER, ROBERT FERDINAND JR",1020
"Brown, Helen Gurley",1020
"RUSSELL, FRED J",1020
"PERCY, CHARLES H.",1020
"AMALRIK, ANDREI A.",1020
"TYLER, JOEL J.",1020
"PERLMAN, ALFRED E.",1020
"White, Kevin H",1020
"LEITAO DA CUNHA, VASCO T.",1020
"BALLARD, WILLIAM FITZ RANDOLPH",1020
"Barzun, Jacques",1020
"MORTOLA, EDWARD J",1020
"Ryan, William",1020
"JASZCZUK, BOLESLAW",1020
"BINGHAM, JONATHAN B",1020
"Krenwinkel, Patricia",1020
"STENNIS, JOHN",1020
"MORRISSEY, FRANCIS JOSEPH XAVIER",1020
"Kirk, Claude R Jr",1020
"ARKADYEV, GEORGI P.",1020
"JONES, WAVERLY M",1020
"Rawls, John",1020
"GOMAA, SHARAWY",1020
"Agron, Salvador",1020
"CASE, CLIFFORD P.",1020
"PEVLER, HERMAN H.",1020
"POSEY, BILLY WAYNE",1020
"STROUGAL, LUBOMIR",1020
"DILTS, ROBERT",1020
HARLAN JOHN MARSHALL,1020
"Hansberry, Lorraine",1020
"Wagner, Richard",1020
"LAUSCHE, FRANK J.",1020
"ASTOR, NANCY",1020
"Waller, William L",1020
"LAMONT, THOMAS S.",1020
"IRWIN, DONALD J.",1020
"ROSENMAN, SAMUEL IRVING",1020
"ROE, JAMES A JR",1020
BARRINGTON MOORE,1020
"GAILLOT, BERNARD J JR.",1020
"WATSON, JAMES DEWEY",1020
"WILKINS, MAURICE HUGH FREDERICK",1020
"HATFIELD, MARK ODOM",1020
"TERRY, LUTHER L.",1020
"JACOBS, EMERY E.",1020
"LEMNITZER, LYMAN L",1020
"HEALD, HENRY TOWNLEY",1020
"CASSIN, RENE",1020
"PAINE, THOMAS O",1020
"Hafez, Amin el-",1020
"CLAYTON, WILL L.",1020
M TERRY,1019
"Gravel, Mike",1019
"RUSSELL, DONALD STUART",1019
"Lowell, Robert",1019
"Powell, James",1019
"STANFIELD, ROBERT L",1019
"NARAYANAN, TERALANDUR G.",1019
"LEWIS, SALIM L.",1019
"Lent, Norman F",1019
"Johnson, Daniel",1019
"AHMAD SAIF AL-ISLAM, IMAM OF YEMEN",1019
"TYLER, ANDREW R",1019
"PLUMLEY, HAROLD LADD",1019
"SHEN, JAMES C H",1019
"NAKKACHE, MOHAMMED SEGHIR",1019
"IGNATOV, NIKOLAI G.",1019
"SIMON, NORTON",1019
"WHALEN, WILLIAM HENRY",1019
"GORDON, WALTER L.",1019
"HALL, LEONARD W.",1019
"OPATRNY, JIRI",1019
"MANDEL, MARVIN",1019
"INGRID, QUEEN OF DENMARK",1019
"THURSTON, RAYMOND L.",1019
"Buck, Pearl S",1019
"WINSTON, HENRY",1019
"HOVING, THOMAS P F.",1019
"DILLON, C DOUGLAS",1019
"CONNALLY, JOHN B JR",1019
KANG SHENG,1019
"SEELY-BROWN, HORACE JR.",1019
TAO CHU,1019
"DOBIE, JAMES FRANK",1019
"ROSSETTI, FRANK G",1019
"Robinson, Jackie",1019
"Silberman, Laurence H",1019
"TERRY, CHARLES L JR.",1019
THIEN MINH,1019
"THOMSON, GEORGE",1019
"Brown, Claude",1019
"JOHNSON, DWIGHT H",1019
"MOROZOV, PLATON D",1019
"MEYER, DONALD C.",1019
"DEVINE, GREGORY S.",1019
"KHIDER, MOHAMMED",1019
"Burden, Carter",1019
"Brimmer, Andrew F",1019
"KRYSOSTOMOS,",1019
"ROSSIDES, ZENON",1019
"SADAT, ANWAR EL‐",1019
"MURPHY, WILLIAM B.",1019
"DYMSHITS, VENIAMIN E.",1019
"BARNES, HENRY A",1019
"KISELEV, YEVGENY DMITRIEVICH",1019
"MAISEL, SHERMAN J.",1019
"MARTIN, JOSEPH W JR",1019
"SIMONS, ARTHUR D",1019
"Callaghan, James",1019
"YOUNG, STEPHEN M",1019
"AMER, ABDEL HAKIM",1019
"JAROSZEWICZ, PIOTR",1019
"MCALISTER, ELIZABETH",1019
"Hoxha, Enver",1019
"MOROZOV, PLATON D.",1019
"SCRANTON, ROBERT L.",1019
"CACCIA, HAROLD",1019
"BOYD, ALAN S.",1019
"KRESGE, SEBASTIAN S",1019
"OKOTIE-EBOH, FESTUS",1019
"ROTTA, ANGELO",1019
"NANDA, GULZARILAL",1019
"WELTNER, CHARLES LANGSTREET",1019
"BUDGE, HAMER H.",1019
"CABRAL, AMILCAR",1019
"SHEPARD, TAZEWELL T JR.",1019
"APTHEKER, HERBERT",1019
"CABRERA SEVILLA, LUIS",1019
"CASTRO JIJON, RAMON",1019
"MILLER, WILLIAM E.",1019
"RAINEY, LAWRENCE A.",1018
"SILVERMAN, SAMUEL J.",1018
"FELT, JAMES",1018
"KOSYGIN, ALEKSEI N.",1018
"USERY, WILLIAM J JR",1018
"Sheehan, Neil",1018
"USHIBA, NOBUHIKO",1018
"Rodriguez, Eugene",1018
"ANDERSON, EUGENIE MOORE",1018
"HICKS, LOUISE DAY",1018
"GALSTON, ARTHUR W",1018
"STRAUSS, FRANZ-JOSEF",1018
"PERICONI, JOSEPH F.",1018
"JOSEPH, ST",1018
YOUNG FRED A JR.,1018
"WHEELER, MAYNARD C.",1018
"DESMOND, CHARLES S.",1018
"COOK, JAMES",1018
"ANTONIUTTI, ILDEBRANDO",1018
"Powell, Enoch",1018
"RESOR, STANLEY R.",1018
"CONIGLIARO, ANA ALVAREZ",1018
"LANGDON, JERVIS B JR.",1018
"BAKER, GEORGE P.",1018
"Kekkonen, Urho",1018
"FORD, HENRY 2D.",1018
"FORTAS, ASSOC ABE",1018
"GINSBURG, DAVID",1018
"SMITH, RALPH T",1018
"BROOKS, ANGIE E",1018
"Carter, Jimmy",1018
"BECK, DAVE",1018
"FRAIMAN, ARNOLD G.",1018
"JOHNSON, THOMAS F.",1018
"BROWN, EARL",1018
"BASS, ROSS",1018
"MACMAHON, DOUGLAS L.",1018
"MOORE, GEORGE S.",1018
"MCKNEALLY, MARTIN B",1018
"TREULICH, ERIC J.",1018
"MOHIEDDIN, ZAKARYA",1018
"TSIANG, TINGFU F.",1018
"BRADLEY, OMAR NELSON",1018
"MCCARTHY, JOSEPH RAYMOND",1018
"GUNTER, RAY",1018
"COONEY, TIMOTHY JEFFRIES",1018
"DUHAMEL, JACQUES",1018
"SLIPYI, JOSYF",1018
"Snow, Edgar",1018
"BOUTWELL, ALBERT",1018
"ELIZABETH, QUEEN MOTHER OF GREAT BRITAIN",1018
"WERNER, LEWIS 2D",1017
"PHUMIPHON ADUNDET, KING OF THAILAND",1017
Moliere,1017
"ORRICK, WM H JR.",1017
"GIBBONS, SAM M.",1017
"CHAPMAN, JAMES A",1017
"PRENDERGAST, MICHAEL H.",1017
"Bourassa, Robert",1017
"HEINEMAN, BEN W.",1017
"SAIGH, MAXIMOS IV",1017
"TERRY, CHARLES L JR",1017
"CADIEUX, LEO A",1017
"SHARKEY, JOSEPH T.",1017
"HERRERA Y ORIA, ANGEL",1017
"PODELL, BERTRAM L.",1017
"CLARK, WILLIAM RAMSEY",1017
"MCCLOSKEY, MATTHEW H.",1017
NGUYEN TON HOAN,1017
"GUGGENHEIMER, ELINOR C",1017
"CARDILLO, PHILIP W",1017
"DISALLE, MICHAEL VINCENT",1017
"KLARSFELD, ???EATE",1017
"SHERRILL, WILLIAM W.",1017
"CLURMAN, RICHARD M.",1017
"ATKINS, SUSAN DENICE",1017
"MCGOVERN, GEORGE STANLEY",1017
"COLLINS, LEROY",1017
"CHAVEZ, DENNIS",1017
"GIEREK, EDWARD",1017
"BROWN, FLETCHER W JR",1017
"GARDINER, GERALD AUSTIN",1017
"Moravia, Alberto",1017
"VAN DER HEUVEL, GERRY",1017
"MONAGAN, JOHN S.",1017
"ADZHUBEI, ALEKSEI I",1017
"GRIBETZ, JUDAH",1017
"ZIEGLER, CARL",1017
"JACKSON, HENRY M.",1017
"GRUMET, JACOB",1017
"FROINES, JOHN R",1017
"ATA, HASHEM AL‐",1017
"WHITE, LEE C.",1017
"FARMERS, JAMES LEONARD",1017
"GURFEIN, MURRAY I",1017
"CROWLEY, DONALD J",1017
"WASHINGTON, WALTER E",1017
"SCHWARTZ, ABBA P.",1017
"SEGAL, BERNARD G.",1017
"MCCAIN, JOHN S JR",1017
"TUOHY, WALTER J.",1017
"GARNER, JNO N",1017
"STEVENSON, BORDEN",1017
"DIES, MARTIN",1017
"SHEPARD, ALAN B JR.",1017
CHOW SHU-KAI,1017
"Krol, John",1017
"ALEXANDER, LEE F",1016
"MILLER, JEFFREY GLENN",1016
"ZIEGLER, RONALD L JR.",1016
"SALEM, MAMDOUH",1016
"JOHNSON, HAROLD K.",1016
"Kleindienst, Richard G",1016
"BOUMEDIENNE, HOUARI",1016
"PONOMAREV, BORIS N.",1016
"ABEL, RUDOLF",1016
"ELLIOTT, DONALD H.",1016
"HARRINGTON, DONALD SZANTHO",1016
YEH CHIEN‐YING,1016
"MENDE, ERICH",1016
"Dollinger, Isidore",1016
"DUNHAM, RICHARD L",1016
"SIGNER, ETHAN R",1016
"PRICE, CECIL RAY",1016
"CICOGNANI, AMLETO GIOVANNI",1016
"STANTON, FRANK",1016
"Goheen, Robert F",1016
"ROOSEVELT, ELLIOTT",1016
"KLISZKO, ZENON",1016
"SHARAF, SAMI",1016
"ROSENTHAL, ABRAHAM M",1016
"SEALY, LLOYD G.",1016
"Champion, George",1016
"MERCHANT, LIVINGSTON T.",1016
CHI PENG-FEI,1016
"Bourguiba, Habib",1016
"GIAIMO, ROBERT N.",1016
"BIGEL, JACK",1016
"MURPHY, BERNARD G.",1016
"RAZAK, TUN ABDUL",1015
"WATSON, MARK S.",1015
"BELIEU, KENNETH E.",1015
"YAZID, M'HOMMED",1015
"BOYD, ALAN STEPHENSON",1015
"MORISON, SAMUEL ELIOT",1015
"SUENENS, LEO JOZEF",1015
"Diggs, Charles C Jr",1015
"COHEN, WILBUR J",1015
"NUGENT, GERARD P.",1015
"CONNOR, THEOPHILUS EUGENE",1015
"MAYER, MARIA GOEPPERT",1015
"STONOROV, OSKAR",1015
"MOYERS, BILL DON",1015
"FARES, ABDERRAHMANE",1015
"GRIFFIN, ROBERT P.",1015
"WALSH, JOHN F",1015
"DENNISON, H LEE",1015
"BENN, ANTHONY WEDGWOOD",1015
"Herbers, John",1015
"MCNAUGHTON, JNO T",1015
"Van Houten, Leslie",1015
"TOUKAN, AHMED",1015
"MCNAUGHTON, JOHN T.",1015
"WEAVER, ROBERT CLIFTON",1015
"KATZENMEYER, BERT",1015
"Goldstein, Harold",1015
"RUDIN, JACOB P.",1014
"IVES, ERNEST",1014
"TAUBMAN, HOWARD",1014
"CHAFEE, JOHN H.",1014
"KARRAFA, JOSEPH",1014
"FELIX, HAROLD ARTHUR",1014
"FARAH, EMPRESS OF IRAN",1014
BALL GEORGE W.,1014
"ALBEE, EDWARD FRANKLIN",1014
"QADDAFI, MUAMMAR EL­",1014
"STANS, MAURICE H.",1014
"HAMBRO, EDVARD",1014
"KOSYGIN, CONFERENCE WITH",1014
"MICHAELIAN, EDWIN G.",1014
"PALFREY, JOHN G.",1014
"KEENER, J WARD",1014
"CAIN, JAMES CLARENCE",1014
"GIDEONSE, HARRY D.",1014
"Mumford, Lewis",1013
"WILLIAMS, JOSEPH B",1013
"LARSON, LEONARD W.",1013
"EGEBERG, ROGER O",1013
"BRIDGES, STYLES",1013
"MAIER, HENRY W",1013
"MENDOZA Y AMOR FLORES, BENJAMIN",1013
"BRASCO, FRANK J",1013
"RIBERI, ANTONIO",1013
"FORRESTER, EUGENE P",1013
"WHEAT, FRANCIS M.",1013
"WATERMAN, ALAN T.",1013
"WILEY, TARLEY TARSON",1013
"SEDITA, FRANK A",1013
"NARASIMHAN, C V.",1013
"LIPSCOMB, GLENARD P",1013
"ARLEDGE, JIMMY",1013
"Haig, Alexander M Jr",1013
"BUNDY, WM P.",1013
