,points
"GANDHI, INDIRA NEHRU",7133
"BROWN, EDMUND G.",7132
"CONNALLY, JOHN B JR.",7129
"WALLACE, GEORGE C.",7128
"Fanfani, Amintore",7122
"BLACK, HUGO LAFAYETTE",7120
"FEDORENKO, NIKOLAI TROFIMOVICH",7119
"Richardson, Elliot L",7109
"TRAUMAN, HARRY S.",6662
"MacArthur, Douglas",6656
"SOLZHENITSYN, ALEKSANDR I.",6652
"SHRIVER, ROBERT SARGENT JR.",6641
"Gandhi, Indira",6640
"DOBRYNIN, ANATOLY FYODOROVICH",6639
"WIRTZ, WM WILLARD",6634
"Worden, Alfred M",6631
"BALL, GEORGE W.",6630
"MCCOY, RHODY A.",6626
"WHEELER, EARLE G",6620
"LENIN, NICOLAI",6619
"DONOVAN, JAMES BRITT",6612
"BOGGS, HALE",6600
"ALBERT, CARL",6593
"Burns, Arthur F",6590
V CANBY,6148
"DESAPIO, CARMINE G.",6132
"CONRAD, CHARLES JR",6132
"JARRING, GUNNAR V",6130
"ADDONIZIO, HUGH J",6129
"DONOVAN, BERNARD EUGENE",6127
"MARTIN, WILLIAM MCCHESNEY JR.",6121
"LEARY, HOWARD R",6119
"CUSHING, RICHARD JAMES",6116
"NUGENT, PATRICK J.",6115
"Marshall, Thurgood",6115
"COOPER, JOHN SHERMAN",6113
"CLIFFORD, CLARK MCADAMS",6110
"UDALL, STEWART L.",6107
"MARY, THE BLESSED VIRGIN, MOTHER OF JESUS",6106
"FOWLER, HENRY HAMILL",6100
CHOU EN‐LAI,6095
"ACKLEY, GARDNER",6090
"MORSE, WAYNE",6078
"O'Dwyer, Paul",6071
"Wilson, Malcolm",6037
"HICKEL, WALTER JOSEPH",6015
"Bean, Alan L",5638
"Picasso, Pablo",5638
"ROCKEFELLER, MICHAEL",5636
"BUCHER, LLOYD M",5634
"DOBRYNIN, ANATOLY FYODORAVICH",5629
"WHITE, EDWARD H 2D",5629
"INONU, ISMET",5625
"WIRTZ, WILLIAM WILLARD",5624
Jesus Christ,5622
"JUAN CARLOS, PRINCE OF SPAIN",5620
"DIEFENBAKER, JOHN GEORGE",5619
"CERNIK, OLDRICH",5615
"Sulzberger, Arthur Hays",5613
"QUILL, MICHAEL J.",5613
"SADAT, ANWAR EL­",5610
"Kennedy, Caroline",5607
"CARLINO, JOSEPH F.",5606
"HARLAN, JOHN MARSHALL",5605
"HOLT, HAROLD EDWARD",5604
"CHARLES PHILIP ARTHUR GEORGE, PRINCE OF WALES, DUKE OF CORNWALL, DUKE OF ROTHESAY, EARL OF CARRICK, EARL OF CHESTER, BARON OF RENFREW, LORD OF THE ISLES AND PRINCE AND GREAT STEWARD OF SCOTLAND",5603
"Bush, George",5599
"WHEELER, EARLE G.",5598
"Hoover, J Edgar",5597
"Schroeder, Gerhard",5593
"CARSWELL, G HARROLD",5587
"Thurmond, Strom",5582
"WILKINS, ROY",5577
"BUCKLEY, WILLIAM F JR.",5574
"PROCACCINO, MARIO A.",5573
"SAMUELS, HOWARD J.",5559
C BARNES,5127
W KERR,5126
"PIKE, JAMES ALBERT",5122
"Young, John W",5119
"LEMNITZER, LYMAN LOUIS",5117
"CALLEY, WILLIAM L JR",5113
"NKRUMAH, KWAME",5111
"VAN ARSDALE, HARRY JR.",5110
"ARAFAT, YASIR",5109
"WYSZYNSKI, STEFAN",5107
"PAPANDREOU, GEORGE",5107
"KHEEL, THEODORE W.",5107
"HOME, EARL OF",5106
"STOKES, CARL B",5102
"HOME, ALEC DOUGLAS",5102
"McNamara, Robert S",5101
"TRAVIA, ANTHONY J.",5099
"Blackmun, Harry A",5097
"BUNCHE, RALPH JOHNSON",5097
"Diaz Ordaz, Gustavo",5093
JAVITS JACOB K.,5093
"AIKEN, GEORGE D.",5092
"PARK, CHUNG HEE",5091
"ABRAMS, CREIGHTON W",5090
"Ceausescu, Nicolae",5086
"ROOSEVELT, FRANKLIN DELANO JR.",5085
"BUNKER, ELLSWORTH T.",5085
"Frankfurter, Felix",5085
"SALINGER, PIERRE EMIL GEORGE",5085
"CLARK, TOM CAMPBELL",5078
"WOODCOCK, LEONARD",5077
