,points
CAMPAIGN OUTLOOK AND GENERAL COMMENT,120014
CASUALTIES,119684
ABORTION,119396
Transportation,118874
REVIEWS AND OTHER DATA ON SPECIFIC FILMS,116712
ASSASSINATION,116454
Real Estate,115714
"MILITARY BUILD-UP, AID, LONG-RANGE PLANNING",115588
RESERVES,114022
Holidays and Special Occasions,113324
Coal,113034
ISSUES AND PLATFORMS,109532
ACCIDENTS AND FIRES,109216
GOVERNMENT FINANCE,108968
DRUGS AND DRUG TRADE,108926
REACTIONS IN UNITED STATES,108576
Immigration and Emigration,108552
CITY COUNCIL,108036
TELEPHONES,108026
US PERSONNEL,107806
CONSTITUTION,107208
ELECTIONS (US),106960
COLLEGE,106932
ARMAMENT AND MATERIEL,106410
Pollution,105552
Hijacking,105090
Firearms,104988
GAS (ILLUMINATING AND FUEL),104622
AIDES AND EMPLOYES,104196
"PRODUCTION, DISTRIBUTION, CONSUMPTION",103920
Women,103212
TRADING PROCEDURES AND RULES,102990
Mayors,102344
World's Fair of 1964-65 (NYC),102278
APPAREL,101912
FRENCH PROJECTS (GENERAL),101856
PRESIDENTS,99840
"DRAFT AND RECRUITMENT, MILITARY",99654
GARBAGE AND REFUSE DISPOSAL,99444
ADMINISTRATIVE AGENCIES,99332
US SENATE,99194
Taxicabs and Taxicab Drivers,98010
LABOR RELATIONS,97530
ISSUES,97496
REVIEWS AND OTHER DATA ON SPECIFIC PLAYS,96614
PROGRAMS,95486
NIXON ADMINISTRATION,95356
Prisoners of War,95270
COMMUNIST‐WESTERN CONFRONTATION,95068
CIVIL DISOBEDIENCE AND DISORDER - RIGHT OF DISSENT - PATRIOTISM ISSUE,94720
Floods,94684
HEALTH AND HOSPITAL INSURANCE AND RELATED GOVERNMENT AID,94106
APOLLO 11,94064
Mental Health and Disorders,91138
Local Government,88776
GOVERNMENT ORGANIZATION,87916
Culture,87402
PAROCHIAL SCHOOLS,86974
FRINGE POLITICAL MOVEMENTS,86826
World War II (1939-45),86502
PERSONNEL,84452
RENTS AND RENTING,84130
Parking,84086
CHINA REPRESENTATION ISSUE,83940
PENSIONS AND RETIREMENT,83666
PROFESSIONAL,83614
SOUTH (INTERNAL AFFAIRS),83590
OFFICE BUILDINGS AND OTHER COMMERCIAL PROPERTIES,83340
RECORDS,83252
RACIAL INTEGRATION AND PROGRAMS FOR SOCIALLY HANDICAPPED,83056
Moon,82452
MILK AND MILK PRODUCTS,82378
NAVY,82022
DECENTRALIZATION,81428
FORCES (GENERAL),81224
Marriages,80488
Lotteries,80180
Veterans,80024
SNOWSTORMS,79624
Christmas,79600
FEDERAL AGENCIES,79514
DESCRIPTIONS AND ATTRACTIONS,79448
ARAB-ISRAELI DISPUTE (GEN),79370
"HEALTH, PERSONAL",78860
Boxing,78740
Festivals,78388
JUDICIARY,77590
ACCIDENTS,77456
"FOREIGN STUDY, TEACHING AND TRAVEL",77362
EAST,75966
URBAN RENEWAL PROJECTS AND PROGRAMS,75842
DECORATIONS AND HONORS,75786
ENVIRONMENTAL PROBLEMS (GENERAL),75626
MOSCOW MEETING ENDS WITH COMPROMISE AGREEMENT FOR 'NORMALIZATION' OF CZECH - CZECH LEADERS ATTEMPT TO JUSTIFY AGREEMENT TO CZECH GOVT AND PEOPLE,75400
ADVERTISING,75096
Organization,74316
Nobel Prizes,74194
COMMERCIAL,73768
COMMUNICATIONS SATELLITES,72576
FIRES,72292
FEDERAL REVENUE SHARING AND GRANTS-IN-AID,70594
Public Housing,70074
MEMBERSHIP,69836
US REPRESENTATIVES,69740
Opera,69738
BEHAVIOR AND TRAINING,69724
VOTERS AND VOTING,69684
REALTY,69258
SECRETARIAT AND SECRETARY GENERAL,69098
ECONOMIC AND SOCIAL CONDITIONS,69030
HEALTH INSURANCE,68940
REORGANIZATION,68470
ARCHEOLOGY AND ANTHROPOLOGY,68462
Corporations,68184
Subways,67848
"TOBACCO, TOBACCO PRODUCTS AND SMOKERS ARTICLES",67514
BUILDINGS,67472
WORLD CHAMPIONS,67412
BOMBING OF N VIETNAM,67354
"Indians, American",67182
Environment,66944
POWS,66820
Textiles,66690
Income,66638
PRIMARIES,66476
PUEBLO INCIDENT,66240
Zoning,66068
HURRICANES,65432
Earthquakes,65404
AUGUST 16-31,65266
BOMBS AND BOMB PLOTS,65072
STATE,64856
DECISIONS,64684
HUMPHREY ACTIVITIES,64278
History,64116
THERAPY FOR ADDICTS,63994
Speeches and Statements,63546
SOUTH VIETNAM INTERNAL AFFAIRS,63074
Tennis,62406
Heart,62310
OCTOBER 16-31,62244
CABINET AND SUB-CABINET,62012
BETTING,61926
Area Planning and Renewal,61756
PRODUCTION AND PROCUREMENT,61632
FEDERAL AID,61358
SECURITIES ACTS AND OTHER LAW VIOLATIONS,61200
RELATIONS AMONG MIDEAST STATES,61182
Helicopters,61178
"GENERAL POLICIES OF BILLIGERENTS, OTHER MAJOR POWERS",60778
INFLUENCE AND CORRUPTION,60766
PUBLIC WORKS,60722
NIXON ACTIVITIES,60386
UNION OF SOVIET SOCIALIST REPUBLICS PROJECTS,60146
PUBLIC UTILITIES,60050
JURIES AND JURY DUTY,59910
EUROPEAN SECURITY PROPOSALS,59616
STRENGTH,59396
Sugar,59116
"ECONOMIC CONDITIONS, DEVELOPMENT AND SYSTEMS",58966
Presidential Elections (US),58788
RIOTS,58572
DEBT,58406
"Divorce, Separations and Annulments",58128
FRENCH-US RELATIONS,57876
RESEARCH AND TECHNICAL DEVELOPMENTS,57776
THIRD-PARTY MOVES,57408
MAFIA PROBE,56888
BOMBING OF NORTH VIETNAM,56854
Wiretapping and Other Eavesdropping Devices and Methods,56814
ARAB POLITICAL MOVEMENTS AND INTERRELATIONS,56480
VISITORS,56324
CONSUMER,55892
SPECIAL SESSIONS,55880
NON-OPERATING,55854
Apollo Project,55810
REAPPORTIONMENT,55732
SECURITY PROPOSALS,55462
GOLDWATER ACTIVITIES,55254
Suicides and Suicide Attempts,55104
AWARDS AND CONTESTS,54538
3D S 16 PAR,54294
Cancer,54084
RESULTS,54048
WARSAW PACT (1955),53992
NIXON ADMINISTRATION PLANS,53932
MISCELLANEOUS NEWS AND ARTICLES,53920
AIR FORCE,53592
CAPITAL BUDGET,53388
Golf,53152
MAJOR LEAGUES,53092
BUILDING SERVICE EMPLOYES,53004
STATIONS AND NETWORKS,52946
Sex,52926
GOVERNORS,52432
PEACE AND SECURITY,52296
ATHLETICS,51938
Olympic Games,51922
Puerto Ricans,51808
ACCIDENTS AND DELAYS,51778
"BIG POWERS (FRANCE, GB, USSR AND US) MUTUAL RELATIONS AND COLD WAR",51622
WALLACE CAMPAIGN,51164
TEACHERS AND SCHOOL EMPLOYES,50844
PORNOGRAPHY AND OBSCENITY,50682
FAMILY,50548
US PROJECTS,49966
BOUNDARIES AND TERRITORIAL ISSUES,49718
Buses,49652
WEAPONS (GEN),49644
Youth,49450
CONTROL,48816
RATES,48804
Capital Punishment,48776
CAR DESIGN AND EQUIPMENT,48712
MILITARY BASES,48626
MISCELLANEOUS,48612
"PORTRAITS, SCULPTURE AND ILLUSTRATIONS",48412
OCTOBER 1-15,48360
SEPTEMBER 16-30,48294
CHEMICAL WARFARE,47888
Consumer Protection,47818
NEW MODELS AND DESIGN,47674
District Attorneys,47558
FEDERAL LEGISLATION,47504
EXPORTS AND IMPORTS,47414
Excise Taxes,47072
ECONOMIC CONDITIONS AND SYSTEMS,46802
"FRENCH CANADIANS, ISSUE OF",46766
CORRUPTION CHARGES,46764
GENERAL ASSEMBLY,46548
CONTROLLER,46530
S 1 PAR,46480
JULY 16-31,46230
SEPTEMBER 1-15,46134
CIVIL DISOBEDIENCE - RIGHT OF DISSENT - PATRIOTISM ISSUE,45982
TOURNAMENTS,45928
CONDUCT OF WAR,45860
Bowl Games,45854
CULTURAL RELATIONS,45672
1ST N 1 PAR,45596
JULY 1-15,45372
1ST O 16 PAR,45252
1ST O 22 PAR,44730
CIVIL DEFENSE,44696
BASES,44644
PRESIDENTIAL ELECTION OF '68,44516
"NATIONAL PARKS, MONUMENTS, RIVERWAYS AND SEASHORES",44486
STOCK EXCHANGES AND BROKERS,43932
"Copper, Brass and Bronze",43850
HIJACKINGS,43840
Aluminum,43832
TRANS-ATLANTIC,43786
INTERNATIONAL (JOINT) MOVES TO CONTROL AND EXPLORE SPACE,43782
USSR PROJECTS (GENERAL),43766
APOLLO 15,43652
Ports,43544
MCCARTHY ACTIVITIES AS DECLARED CANDIDATE,43284
SHOOTINGS,42928
THEATRE,42784
Espionage,42756
"S VIETNAM POLITICAL CRISIS - BUDDHIST OPPOSITION TO JUNTA CONTINUES - US DEPLORES POLITICAL STRIFE - JUNTA IN CONTROL OF DANANG - OTHER JUNTA TROOP MOVES AGAINST DISSIDENTS - HUE SITUATION CRITICAL - US CULTURAL CENTER AND LIBRARY, HUE, BURNED",42702
Longevity,42680
Metals and Minerals,42638
Unemployment Insurance,42542
Freedom and Human Rights,42512
JUNE 1-15,42456
World Series,41888
Education,41706
Cotton,41688
MENTAL DEFICIENCY AND DEFECTIVES,41566
AGED AND AGE,41432
SECTARIAN SCHOOLS,41370
Bank Robberies,40976
EASTER,40808
CONCERTS AND RECITALS,40768
USSR AND EAST EUROPEAN COMMUNIST NATIONS,40694
ANNIVERSARIES,40560
MISC ITEMS,40402
INAUGURATION,40240
Biology and Biochemistry,39790
EAST AND GULF COASTS,39760
AMERICAN NATIONS AND WESTERN HEMISPHERE POSESSIONS,39724
ATROCITY CHARGES,39696
Teeth and Dentistry,39654
"ACCIDENTS, DELAYS AND FIRES",39642
Dancing,39488
POLITICAL AND ECONOMIC INTEGRATION,39430
CHINESE-UNITED STATES,39260
CAREER,39250
NEW YORK CITY STRIKE,38798
CHEMISTRY AND CHEMICALS,38638
MILITARY PERSONNEL AND ORGANIZATION,38594
SUBSURFACE BLASTS,38566
PUBLIC BUILDINGS AND INSTITUTIONS,38528
"YOUTH, EMPLOYMENT OF",38482
NAVAL,38468
EXPRESS AND PARKWAYS,38422
"CHINA, COMMUNIST",37786
AG 1 PAR,37640
Nursing Homes,37442
PLATFORMS,37328
1ST S 16 PAR,37306
BOROUGHS,37106
DESCRIPTIONS AND IMPRESSIONS,36602
SUMMER GAMES,36598
MINORITIES AND OPPRESSED GROUPS,36570
US PEACE DRIVE - TENSION IN S VIETNAM OVER DRIVE - US SENATE FOREIGN RELATIONS COMMITTEE QUESTIONS US POLICY - END OF PAUSE IN BOMBING OF N VIETNAM,36518
Kidnapping,35622
FISHING AND FISH,35614
PAY,35492
STATIONS AND TERMINALS,35482
"Flags, Emblems and Insignia",35404
ASSIGNMENTS,35312
1971 SESSION,35310
"US POLICY - EFFECTS AND REACTION TO IT - PEACE PROPOSALS BY PHILIPPINES PRES MARCOS, SEC GEN THANT AND POPE PAUL, BY FRANCE, BY AMB GOLDBERG IN UN - REBUFF TO GOLDBERG BY USSR - MANILA CONF ON PROSPECTS FOR PEACE",35014
HUMPHREY ACTIVITIES AS DECLARED CANDIDATE,34998
Basketball,34748
Repertory and Resident Theaters,34712
RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS DEMONSTRATIONS THERE,34672
AUTOMATION,34588
Sales,34572
LIEUTENANT GOVERNOR,34568
SEWAGE AND INDUSTRIAL WASTES,34522
USSR BLOC RELATIONS,34512
POLITICAL AND ECONOMIC COOPERATION,34300
SUPERSONIC LINER PROJECT,34060
"OFFICE BUILDINGS, FACTORIES AND OTHER COMMERCIAL PROPERTIES",33714
EXILES,33554
AG 16 PAR,33520
"ADDRESSES, LETTERS, MESSAGES AND STATEMENTS",33388
"STRIKE EFFECTS ON TRAVEL, TRAFFIC, BUSINESS, ENTERTAINMENT, JOBS, CITY ECON - MOVES TO COPE WITH EMERGENCY",33284
JOHNSON ACTIVITIES,33068
1ST O 1 PAR,33054
Skiing,32784
Transplants,32672
RACIAL ISSUES,32592
CIVIL RIGHTS LEGIS (FEDERAL),32590
"ARAB-ISRAELI TRUCE, BORDER INCIDENTS, UNEF ROLE",32590
TRADE PRACTICES AND MONOPOLIES,32588
S 4 PAR,32526
APOLLO 8,32506
PROFESSIONAL PERSONNEL,32452
BRIT-USSR RELATIONS,32444
STRIKE - NEGOTIATIONS - JAILING OF UNION LEADERS - STRIKE SETTLEMENT,32430
STREETS,32412
"VIETCONG, NORTH VIETNAM AND ALLIES",32390
CHINESE-UNION OF SOVIET SOCIALIST REPUBLICS,32380
JL 16 PAR,32376
COUNCIL,32370
MILITARY COMMAND,32358
AUGUST 1-15,32310
Executive Orders,32270
BOATING,31722
"ACTORS, PLAYWRIGHTS AND OTHER PERSONNEL",31648
Royal Family,31520
FREE WORLD UNITY AND STRENGTH,31446
ENROLLMENT,31414
Minimum Wage,31178
2D S 16 PAR,30966
Chess,30770
Olympic Games (1972),30688
Blood,30670
S VIETNAM POLITICAL CRISIS - BUDDHISTS PRESS FOR RETURN TO CIVILIAN GOVERNMENT - JUNTA AGREES TO HOLD NATIONAL ELECTIONS - CRISIS AFFECTS PROSECUTION OF WAR AND US ROLE,30630
"SMOKING, HEALTH EFFECTS OF",30576
Heating,30572
ISRAEL-ARAB CONFLICT,30540
Censorship,30530
2D N 16 PAR,30508
OPERATING,30504
Government Bonds,30484
D 1 PAR,30428
FREIGHT,30404
Waste Materials and Disposal,30396
F 1 PAR,30358
PEACE TREATY (WORLD WAR II),30286
STATE OF UNION MESSAGE,30126
SIRHAN PROSECUTION - OTHER DATA ON HIM,29558
"ARAB POLITICAL MOVEMENTS, INTERRELATIONS AND RELATIONS WITH NEIGHBORING COUNTRIES",29558
EXPOSITIONS AND FAIRS,29502
AEROSPACE INDUSTRIES AND SCIENCES,29496
Rice,29494
CARTOONS,29456
INTERNATIONAL COOPERATION AND VENTURES,29446
Homosexuality,29416
Forests and Forestry,29388
Legal Aid for the Poor,29374
US POLICY AND ACTION,29370
Small Business,29358
DAY CARE CENTERS FOR CHILDREN,29314
Editorials,29276
EDITORIAL POLICY AND NEWS COVERAGE,29154
JOHNSON ADMINISTRATION,28770
Tornadoes,28666
DATA PROCESSING (INFORMATION PROCESSING) EQUIPMENT AND SYSTEMS,28638
BIOLOGICAL WARFARE,28590
Independence Day (US) (July 4),28590
Bible,28578
APOLLO 17,28564
ATTORNEY GENERAL,28532
Poultry,28524
APOLLO 13,28460
SECURITIES,28454
Livestock,28408
OTHER DOMESTIC REACTION TO WAR AND US POLICY,28402
Military Aircraft,28398
"AGE, VOTING",28366
WELFARE WORK AND NEEDS,28288
PERSONAL STAFF,27646
Swimming,27634
CREWS AND OFFICERS,27502
PRIVATE,27396
Sex Crimes,27396
APOLLO 12,27388
SPORTS,27352
KING ASSASSINATION,27328
CHINESE-USSR,27308
EQUIPMENT AND IMPROVEMENTS,27302
Scholarships and Fellowships,27296
ORGN,27276
WAGE AND HOURS,27096
Productivity,27092
SANITATION,27078
Foreign Service,26860
FOOD POISONING,26618
NUCLEAR RESEARCH,26552
Automobile Insurance and Liability,26542
AMERICAN NATIONS AND WESTERN HEMISPHERE,26506
"FOREIGNERS, DETENTION OF",26444
ARAB REFUGEES,26426
APOLLO 14,26342
MAY 16-31,26328
ECONOMY AND RECONSTRUCTION,26316
FRENCH-UNITED STATES,26300
ALCOHOLISM,26242
BOROUGH PRESIDENTS,26148
TRIBUTES AND HONORS,26144
NOVEMBER 1-15,26096
REAPPORTIONMENT AND REDISRICTING,26070
FED PROGRAM (GEN),26022
MY 16 PAR,25512
READING,25498
PRES DE GAULLE LR TO HO CHI MINH - US CONG DEBATE ON US ADM POLICY CONTINUES - SEN FOREIGN RELATION COM HEARINGS - SEN R F KENNEDY STAND - PRIME MIN WILSON CONFS IN MOSCOW,25460
SEN SUBCOM PROBE OF ISSUE OF MIL IN POL - COMMUNIST ISSUE - THREATS TO DEMOCRACY - CONSERVATISM RISE,25456
POLICE (GENERAL),25456
Foreign Investments,25452
US ANNOUNCEMENT OF RESUMED BOMBING OF N VIETNAM AND REACTION TO IT - US REQUEST TO UN SECURITY COUNCIL TO AID IN PEACE EFFORT - SEN FOREIGN RELATIONS COM HEARINGS ON ADM POLICY - GEN GAVIN AND G F KENNAN TESTIMONY - STANDS BY VARIOUS CONGRESSMEN ON WAR,25446
'64 GAMES,25434
DEMILITARIZED ZONE,25398
HEALTH AND HOSP INS AND RELATED GOVT AID,25392
UNITED STATES BASES AND FORCES,25390
PERSONNEL CHANGES,25342
STAFF CHANGES,25318
"RESEARCH, DEVELOPMENT AND TESTS",25312
INTERGOVERNMENTAL RELATIONS AND FEDERAL GRANTS-IN-AID,25150
AWARDS AND HONORS,25090
ARCHITECTURE AND ARCHITECTS,24526
RACES AND RALLIES,24508
SKYLAB PROJECT,24508
HARNESS,24506
TRUCE,24478
ANIMALS,24474
PESTICIDES AND PESTS,24458
SHOWS,24440
Memorial Day,24426
CENSORSHIP AND BANS,24424
Legal Profession,24422
PRIME RATE,24418
FIELD EVENTS,24406
BOATING (YACHTING),24400
"CONFERENCES, INTERGOVERNMENT",24390
Police,24382
HOUSING AUTHORITIES,24360
"SECURITY, PERSONAL",24308
ECONOMIC CONDITIONS AND TRENDS (GENERAL),24308
MIL,24296
REORGANIZATION OF DEPARTMENTS,24290
CONF IN HONOLULU OF PRES JOHNSON AND AIDES WITH S VIETNAMESE LEADERS AND US MIL AND DIPLOMATIC REPRESENTATIVES STATIONED IN VIETNAM - SOC AND ECON REFORM STRESSED AS KEY TO VICTORY - DECLARATION OF HONOLULU - VICE PRES HUMPHREY SENT TO S VIETNAM TO STUDY REFORM PROGRAMS,24202
AWARDS,24166
FEDERAL CONTROLS,24156
Forest and Brush Fires,23514
TIN,23512
Planets,23494
COMMUNICATIONS,23454
"S VIETNAM POLITICAL CRISIS - BUDDHISTS CONTINUE TO OPPOSE JUNTA - JUNTA ADDS 10 CIVILIAN MEMBERS - US CONSULATE BURNED, HUE - HUE SITUATION TENSE AS BUDDHISTS BLOCK STREETS - S VIETNAM SEEKS UN OBSERVERS FOR ELECTIONS",23452
OCEANS AND OCEANOGRAPHY,23422
SCHOOL ADMINISTRATION AND COMMUNITY ROLE,23414
ARAB-ISRAELI TRUCE - BORDER INCIDENTS - UNEF ROLE,23412
CH-STATE RELATIONS,23378
FIRE AND HEALTH HAZARDS,23332
RESEARCH AND TECH DEVELOPMENTS,23326
SUPPLY AND PRODUCTION,23324
CONGRESS (HOUSE OF REPRESENTATIVES),23316
HEALTH AND MEDICAL CARE,23306
REACTIONS ABROAD,23274
MESSAGES TO LEGISLATURE,23124
FEDERAL-LOCAL GOVERNMENT RELATIONS,23114
JOHNSON-KOSYGIN CONFERENCE,23082
SPECIFIC PROJECTS,22416
Historic Buildings and Sites,22382
GEN EAST-WEST CONFRONTATION,22344
"ISRAELI-ARAB CONFLICT, EFFECTS OF",22334
RACIAL PROBLEMS,22310
INSURANCE AND LIABILITY,22294
Noise,22260
US POLICY - EFFECTS AND REACTION TO IT - COMMUNIST CHINA AND USSR INVOLVEMENT - ASIAN PEACE CONF,22198
BONDS AND NOTES,22178
CONDON-WADLIN ACT,22176
JUNE 16-30,22170
SOCIAL FUNCTIONS,22166
2D O 16 PAR,22124
WORLD'S FAIR OF 1964 (NYC),21524
Automobile Racing,21522
ASIAN-AFRICAN CONFERENCES,21390
"RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES THERE, INCLUDING NEGRO VOTER REGIS DRIVE IN ALABAMA - SELMA TO MONTGOMERY MARCH FOR NEGRO RIGHTS - WHITE WOMAN CIVIL RIGHTS WORKER SLAIN - PRES JOHNSON DENOUNCES KKK",21390
FOREIGN POPULATION AND FOREIGN-DESCENT GROUPS,21364
USSR PROJECTS,21360
Physics,21358
SAVINGS AND LOAN ASSNS.,21352
Race,21348
BRIT-US RELATIONS,21338
US-USSR CONSULAR TREATY,21326
Book Trade,21326
WEAPONS,21316
APOLLO 10,21312
MARCH 1-15,21290
'68 GAMES,21290
CIVIL RIGHTS LEGIS (FEDERAL) - CIVIL RIGHTS ACT OF '64 BECOMES LAW - SENATOR GOLDWATER STAND AND REPUBLICAN PLATFORM PLANK ON CIVIL RIGHTS,21290
JL 1 PAR,21288
LUNCH PROGRAMS,21282
ELECTORAL COLLEGE AND PROPOSALS TO CHANGE ELECTORAL PROCEDURES,21228
Ferries,21224
POL-ECON INTEGRATION,21214
"STRIKES, PICKETING AND BOYCOTTS",21188
1970 SESSION,21138
PRODUCTION AND SUPPLY,21116
4TH O 16 PAR,21040
CONSERVATISM ISSUE - EXTREMISM ISSUE,20856
EQUIPMENT,20402
US RECONNAISSANCE FLIGHTS,20394
HOLIDAY CEASE-FIRE,20358
"TOURS, FOREIGN",20358
REGISTRATION OF VOTERS,20326
Consumer Price Index,20306
