,points
Prostitution,19416
"Hockey, Ice",19410
"Cleansers, Detergents and Soaps",19410
PRESBYTERIAN CHURCHES,19392
ELECTRIC APPLIANCES AND EQUIPMENT,19384
ILLEGITIMACY,19342
"INTERNATIONAL INCIDENTS, TERRITORIAL ISSUES AND INTERNATIONAL PACTS",19340
INSTITUTIONAL INVESTORS,19328
Textbooks,19320
ORTHODOX CHURCHES,19316
STOCK PRICES AND TRADING VOLUME,19298
"PUBLISHING, SALES AND DISTRIBUTION",19264
PORT TRAFFIC,19246
GOVERNMENT NEWS POLICIES,19210
JANUARY 1-15,19202
Wheat,19200
ROMAN CATHOLIC CHURCHES,19178
URBAN AND COMMUNITY PLANNING AND RENEWAL,19176
DEMOCRATIC PARTY PLATFORM,19164
SUPPLEMENTAL AND DEFICIENCY FUNDS,19114
"PRICES, PROFITS AND PRICE‐WAGE‐PROFIT RELATIONS",19108
3D O 1 PAR,19066
Church-State Relations,19028
Inheritance and Estate Taxes,19018
Mountain Climbing,18430
Rowing,18424
THEFTS,18408
INVENTIONS AND INVENTORS,18400
Thanksgiving Day,18394
"RACIAL SEGREGATION IN THE SOUTH - DEMONSTRATIONS, VOTER REGIS, OTHER CIVIL RIGHTS ACTIONS",18384
MARGIN TRADING AND CREDIT EXTENSION,18372
RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS DEMONSTRATIONS THERE - MISSISSIPPI CIVIL RIGHTS PROJECT BEGINS - DISAPPEARANCE OF THREE CIVIL RIGHTS WORKERS,18360
CIVIL DEFENCE,18340
FRUIT AND VEGETABLES,18338
SALES AND SALESMEN,18332
US CONGRESS DEBATE ON US POLICY CONTINUES - COMMUNIST CHINA ROLE IN CONFLICT - SENATE COMMITTEE HEARS EXPERTS ON CHINA,18296
Automobile Safety Features and Defects,18296
"GENERAL POLICIES OF BELLIGERENTS,OTHER MAJOR POWERS",18296
MEMORIALS AND MONUMENTS,18282
WHITE COLLAR WORKERS,18280
NATURAL RESOURCES,18278
Soybeans,18276
Energy and Power,18266
"RECEPTIONS, OFFICIAL",18256
MODEL CITIES PROGRAM,18238
Census,18228
"ADDRESSES, LETTERS AND MESSAGES",18222
UN ROLE (GEN),18192
FEED,18190
SENATE (NYS),18166
SEWERS AND SEWAGE DISPOSAL,18136
INTERGOVT RELATIONS AND FED GRANTS-IN-AID,18136
BUILDINGS AND EQUIPMENT,18124
BUILDING REPORTS,18060
NIXON ACTIVITIES AS DECLARED CANDIDATE,18050
KENNEDY ACTIVITIES AS DECLARED CANDIDATE,18004
DRUG TRAFFIC AND HABIT,17358
PRESIDENTIAL ELECTION OF 1976,17344
ESPIONAGE AND SUBVERSION,17332
ROMAN CATHOLIC RELIGIOUS ORDERS,17314
1ST MAR 1 PAR,17312
Psychology and Psychologists,17310
POETRY,17302
Beverages,17292
DEFENSE CONTRACTS AND PRODUCTION,17274
WEAPONS (GENERAL),17272
International Trade and World Market,17264
ANTI-SEMITISM,17212
Electronics,17210
CONSUMER CREDIT,17194
CLEANLINESS,17188
CONTRACTS,17168
Libraries and Librarians,17162
PRIMARY RESULTS,17146
EDUCATIONAL (NONCOMMERCIAL) TELEVISION AND RADIO,17142
AUDIENCES,17094
AIDES,17000
FEDERAL REVENUE-SHARING PLANS,16986
RADIATION AND RADIOACTIVITY,16382
RECORDINGS (DISK AND TAPE) AND RECORDING AND PLAYBACK EQUIPMENT,16366
Protestant Churches,16358
Sun,16334
Bicycles and Bicycling,16330
AMUSEMENTS,16320
APOLLO 16,16318
US LABOR,16304
"CZECH AND USSR LEADERS CONFER, MOSCOW, ON SELECTING GOVT AND PARTY LEADERSHIP TO REPLACE DEPOSED DUBCEK REGIME - FURTHER WORLD REACTION TO INVASION",16298
COMMUNIST CHINESE-US RELATIONS,16296
CHURCHES' ROLE IN CIVIL RIGHTS STRUGGLE,16296
NATURE,16294
Families and Family Life,16286
NATIONALIST-COMMUNIST DISPUTE,16286
EXECUTIVES,16280
Illiteracy,16278
BLS CONSUMER PRICE INDEX,16278
Diet and Nutrition,16274
Terrorism,16270
LOAN-SHARKING,16256
ACTORS AND OTHER PERSONNEL,16248
Fertilizer,16246
MARRIAGE,16242
"GOVERNORS CONFERENCE, NATIONAL",16238
POWS AND INTERNED CIVILIANS,16230
1967 SESSION,16230
"CAUSE, PREVENTION, DETECTION, FIGHTING",16226
JE 16 PAR,16226
Public Property,16218
F 16 PAR,16210
SST (SUPERSONIC TRANSPORT),16210
"RACIAL PROBLEMS AND CIVIL RIGHTS ACTIVITIES IN THE NORTH, INCLUDING THE MIDWEST - NEGROES RIOT IN CHICAGO, CLEVELAND, TROY AND N AMITYVILLE, NY - PRES JOHNSON WARNS OF CONSEQUENCES",16210
CONGRESS (GENERAL),16202
PACIFICATION PROGRAM IN SOUTH VIETNAM VILLAGES,16192
PACIFICATION PROGRAM IN SOUTH VIETNAMESE VILLAGES,16184
OTHER FOREIGN REACTION TO WAR AND US POLICY,16184
RELIGION,16180
AGRICULTURAL EQUIPMENT,16172
SUBWAYS (GEN),16146
COMMERCIAL AIRCRAFT,16146
HOME RULE,16130
DISTRICT COURTS,16128
3D O 16 PAR,16106
SAVINGS ACCOUNTS AND CERTIFICATES,16086
CARDINALS,16080
"PRICES, PROFITS AND PRICE WAGE-PROFIT RELATIONS",16064
GEN COMMENT - PREDICTIONS OF JOHNSON SWEEP,16016
MAIL AND POST OFFICE ROBBERIES,15358
Cyclones,15352
Birds,15350
GENERAL AGREEMENT ON TARIFFS AND TRADE (GATT),15326
Wildlife Sanctuaries,15320
Earth,15320
"LOS ANGELES RIOTS END - NATL GUARD WITHDRAWN, CURFEW LIFTED - FED RELIEF PROGRAM ANNOUNCED TO AID AREA - J A MCCONE NAMED CHMN OF RIOT PROBE COMM",15302
CALIFORNIA COAST INCIDENT,15290
"OFFERINGS, REGISTRATIONS AND UNDERWRITING",15288
Mutual Funds,15282
US POLICY - PRES JOHNSON SAYS BOMBING OF N VIETNAM WILL CONTINUE - REACTION TO BOMBING OF N VIETNAM FUEL TANKS - SPECULATION ON COMMUNIST CHINA MOVES - FRANCE AND USSR CALL FOR SETTLEMENT BASED ON '54 GENEVA ACCORD - DEBATE IN BRIT GOVT ON US POLICY - US GOVERNORS CONFERENCE STAND - INDIA PRIME MIN GANDHI PEACE APPEAL - DE GAULLE REPRESENTATIVE J SAINTENY MISSION TO N VIETNAM,15274
Military Vehicles,15268
VENEREAL DISEASES,15268
Rubber,15260
APOLLO 7,15252
Insurance,15248
UNITY,15238
FOREIGN DIPLOMATIC CORPS AND CONSULAR OFFICES,15226
CIA ROLE IN US COLLEGE GROUPS ACTIVITIES,15224
War and Revolution,15224
PRESIDENTIAL ELECTION OF '60,15206
FOREIGN RELATIONS,15200
Magazines,15198
GENERAL AND MULTINATIONAL,15190
FINANCE,15186
Research,15186
CITY PLANNING AND REGIONAL PLANNING,15174
1ST AG 1 PAR,15168
AIR DEFENSE,15168
Savings,15164
ADOPTIONS,15156
PEACE,15142
BAKER CASE (EX-MAJORITY SEC),15132
"VIETCONG, N VIETNAM AND ALLIES",15116
TRANSITION BETWEEN ADMINISTRATIONS,15092
WAGES AND HRS,15084
PATRONAGE,15038
ADVISORY GROUPS AND PRESIDENTIAL COMMITTEES,14390
EMBEZZLEMENT AND MISAPPROPRIATION,14342
ANTIBIOTICS,14328
POLITICAL UNREST IN S VIETNAM - BUDDHIST AND ROMAN CATHOLIC DEMANDS ON MILITARY JUNTA,14320
Gold,14320
"RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES THERE, INCLUDING NEGRO VOTER REGIS DRIVE IN ALABAMA - VOTING RIGHTS MARCHES STAGED IN SELMA, ONE SUPPRESSED VIOLENTLY - FEDERAL LEGISLATION GUARANTEEING VOTING NIGHTS READIED",14312
St Patrick's Day,14310
SPECIAL SECTIONS,14304
WINTER GAMES,14290
"BOMBING OF N VIETNAM: REPORTS BY H E SALISBURY, IN N VIETNAM, ON EXTENT AND EFFECTS OF BOMBING - WORLD REACTION TO HANOI AREA BOMBINGS",14290
S VIETNAM POLITICAL CRISIS - THICH TRI QUANG CONTINUES HUNGER STRIKE - BUDDHISTS STILL OPPOSE JUNTA - ECONOMIC CONDITIONS - JUNTA TAKES OVER HUE - ELECTION OF CONSTITUENT ASSEMBLY SET,14290
SKATING,14288
Lent,14282
POWS - REACTION IN US AND ELSEWHERE TO N VIETNAMESE THREATS OF PUNISHMENT OF US FLIERS - POWS IN S VIETNAM,14278
Wines,14268
RACIAL SEGREGATION IN THE SOUTH - DEMONSTRATIONS - VOTER REGIS UNDER '65 VOTING RIGHTS ACT - OTHER CIVIL RIGHTS ACTION,14264
TIRES AND TUBES,14262
"SHOES, BOOTS AND RUBBERS",14250
Refugees,14242
BORDER INCIDENTS AND TRUCE,14240
PUB HOUSING,14228
US MILITARY BUILD-UP,14226
CIVIL RIGHTS LEGIS (FEDERAL) - SEN GOLDWATER STAND - CIVIL RIGHTS AS PRES ELECTION ISSUE,14208
UNKNOWN SOLDIERS,14208
"ARMAMENT, DEFENSE AND MIL FORCES",14206
EMPLOYES,14198
ASSAULTS ON AND INTERFERENCE WITH NEWSMEN,14198
CENTENNIAL OF CONFEDERATION,14194
CIVILIAN PERSONNEL,14176
US PEACE DRIVE - AMBS HARRIMAN AND GOLDBERG AND ASST SEC WILLIAMS DIPLOMATIC MISSIONS ABROAD - POPE'S PEACE APPEALS - PAUSE IN BOMBING OF N VIETNAM - SEN MANSFIELD REPT ON SEN GROUP FACT-FINDING TOUR - PRES JOHNSON STATE OF UNION MESSAGE,14176
PUBLIC RELATIONS AND INFORMATION SERVICES,14166
INVESTIGATIONS AND INVESTIGATORY PROCEDURES,14146
"PRESS, TV AND RADIO RIGHTS AND COVERAGE",14130
Travel Restrictions,14130
SAVINGS BANKS (MUTUAL),14130
"ETHICS, CORRUPTION, MORALITY",14118
FED AID,14110
SEN,14102
2D JL 16 PAR,14034
UNITED STATES SENATORS,13936
INTERGOVERNMENTAL RALATIONS AND FEDERAL GRANTS-IN-AID,13922
UNITED NATIONS ROLE (GENERAL),13922
OCEAN VOYAGES,13324
WAR CLAIMS AND COMPENSATION (WORLD WAR II),13298
"TOBACCO, TOBACCO PRODUCTS AND SMOKER ARTICLES",13296
JUKE BOXES,13286
USSR BLOC CONTROLS,13276
BEER AND BREWING INDUSTRY,13272
Kidneys,13268
MEN'S AND BOYS' WEAR,13256
"HOTELS, BAR, MOTELS, NIGHT CLUBS AND RESTAURANTS",13254
POLL TAXES,13252
OVER-THE-COUNTER TRADING,13252
UNITED STATES PERSONNEL (MISCELLANEOUS),13252
APOLLO 9,13248
S VIETNAM POLITICAL AND ECONOMIC AFFAIRS,13242
"SEA WATER AND BRACKISH WATER, CONVERSION OF",13234
Bread,13224
WOOD,13222
LINCOLN SQUARE PROJECT (NYC),13220
RACIAL INTEGRATION - PROGRAMS FOR THE SOCIALLY HANDICAPPED,13210
OTHER US DOMESTIC REACTION TO WAR AND US POLICY,13208
SHOPPING CENTERS,13198
CRIME,13196
"COLONIES, TRUSTEESHIPS AND DEPENDENT TERRITORIES",13194
US DOMESTIC REACTION TO WAR AND US POLICY,13192
Lobbying and Lobbyists,13182
2D JL 1 PAR,13180
PROBLEM STUDENTS,13172
3D FORCE MOVES,13168
FRENCH-USSR RELATIONS,13162
2D JE 16 PAR,13158
Labor Day,13144
CAMPAIGN OUTLOOK - GEN COMMENT - JENKINS CASE EFFECTS - 'WHITE BACKLASH' ISSUE - POLLS SHOW WIDE JOHNSON LEAD,13114
REGULATORY AGENCIES,13100
STATISTICS AND OTHER DATA ON TOTAL EMPLOYMENT,13094
NATIONAL,13084
OFFSHORE,13074
STOCK TRANSFER TAX,13070
GOLDWATER'S ACTIVITIES,13048
"ETHICS, CORRUPTION AND MORALITY",12992
3D N 1 PAR,12984
RACES AND REGATTAS,12282
Hepatitis,12276
Cemeteries,12270
BOATS AND YACHTS,12264
SAVINGS AND LOAN ASSNS,12258
New Year,12248
SAVINGS AND SAVINGS BANKS,12240
Camps and Camping,12236
ASSAULTS AND DISORDERLY CONDUCT,12234
COSMOS SATELLITES,12228
MILITARY ACTION IN SOUTH VIETNAM,12228
ITALIANS,12222
GARAGES AND SERVICE STATIONS,12214
RELATIONS BETWEEN MIDEAST STATES,12208
PROJECTS (MULTI-PURPOSE) AND RESOURCES,12208
ELEC LIGHT AND POWER,12208
COMMUNIST CHINESE-USSR RELATIONS,12206
Time,12206
Eyes and Eyesight,12204
"PREGNANCY, OBSTETRICS AND MATERNAL WELFARE",12196
NEW YORK HERALD TRIBUNE,12188
APPORTIONMENT AND DISTRICTING,12186
1ST OCT 1 PAR,12186
1ST SEPT 16 PAR,12182
UAW SPLIT,12164
"FINANCES, PERSONAL",12164
ENROLLMENT AND FACILITIES,12156
TEACHERS,12154
FEDERAL REVENUE SHARING AND GRANTS‐IN‐AID,12148
VETO POWER,12142
CIVIL DISOBEDIENCE AND DISORDER - RIGHT TO DISSENT,12132
US MILITARY BUILD-UP AND WAR COSTS,12122
NEW YORK CITY,12118
Gifts,12116
APPEALS COURTS,12108
CONSERVATISM ISSUE - COMMUNISM ISSUE,12106
3D D 16 PAR,12100
TOYS AND PLAYTHINGS,12094
1ST JE 16 PAR,12080
LAOTIAN BORDER AREA,12078
"ACTIVITIES OF SEN GOLDWATER, REPUB PRES NOMINEE",12042
"TRAINING AND SUPPLY OF DRS, NURSES AND OTHER PROFESSIONALS",12030
REPUBLICAN PARTY PLATFORM,12026
NIXON TOUR,12008
2D N 1 PAR,11968
PROCLAMATIONS,11802
DATA-PROCESSING MACHINES,11272
Brain,11254
Extortion and Blackmail,11252
RECORDS (ACHIEVEMENTS),11252
"PAPER, PAPERBOARD AND PULP",11252
PAINTING AND DECORATING,11242
"FOOTBALL, SOCCER",11234
Glass,11232
Zoos,11228
AMERICA'S CUP,11228
RACIAL SEGREGATION IN THE SOUTH - SUSPECT IN SLAYING OF WHITE CIVIL RIGHTS WORKER ACQUITTED - MORE FED EXAMINERS ASSIGNED UNDER '65 VOTING RIGHTS ACT,11222
POL AND GOVT,11218
Hair,11216
HELIPORTS,11214
WEATHER SATELLITES,11212
MARS,11212
HOLIDAY TRADE,11210
MAY 1 PAR,11204
"MALCOLM X SLAIN IN NYC, APPARENTLY AS RESULT OF FEUD WITH BLACK MUSLIMS - MUSLIMS DENY ANY PART IN SLAYING",11202
FAR EAST AND PACIFIC AREAS,11200
JAN 1 PAR,11200
2D JA 16 PAR,11194
ECON AND FINANCES,11194
VOTING REQUIREMENTS AND VOTING,11192
WOMEN'S AND GIRLS' WEAR,11190
REACTION IN US,11190
AIR CONDITIONING AND VENTILATING,11186
HEADQUARTERS,11184
Citizenship,11182
COOPERATIVE HOUSING,11180
FEDERAL VOTING RIGHTS LEGIS,11172
Eyeglasses,11170
NONPROFESSIONAL PERSONNEL,11168
TOILETRIES AND COSMETICS,11166
MANEUVERS,11162
TESTS OF WEAPONS (GEN),11160
SLA PROBE,11160
NEW CIVIL RIGHTS LEGIS - PROPOSED CIVIL RIGHTS ACT OF '66,11160
WORKMEN'S COMPENSATION INSURANCE,11156
AID TO N VIETNAM,11154
"RADIATION, EFFECTS AND HAZARDS OF",11148
US POLICY AND CONTINUED DEBATE ON IT - SEN FULBRIGHT CRITICISM CONTINUES - SEN MANSFIELD PEACE TALKS PROPOSAL - VICE PRES HUMPHREY DEFENSE OF POLICY - REPR FORD CRITICISM,11146
VIETCONG ORGANIZATION,11140
EVASIONS,11138
SERVICE CHANGES,11134
NEWS COVERAGE,11132
TAYLOR LAW,11126
"US POLICY AND REACTION TO IT - JOHNSON MAKES FAR EAST TOUR EN ROUTE TO MANILA CONF - USSR AND EAST EUROPEAN COMMUNIST LEADERS DISCUSS WAR AT MOSCOW CONFERENCE - INDIAN, YUGOSLAVIAN AND UAR LEADERS DISCUSS WAR AT NEW DELHI CONFERENCE - MANILA CONFERENCE, CONFERENCE COMMUNIQUE AND DECLARATION OF GOALS - REACTION TO MANILA CONFERENCE - JOHNSON VISITS S VIETNAM",11124
CIVIL RIGHTS MOVEMENT (GENERAL) - CIVIL RIGHTS ACT OF '64,11118
DECORATIONS,11118
1ST JA 16 PAR,11114
PASSENGER CARS,11108
TREATY,11100
NEWS PROGRAMS,11100
SUPPLY AND DISTRIBUTION,11082
PRES KENNEDY ASSASSINATED - VICE PRES JOHNSON BECOMES PRES - TRANSITION FROM KENNEDY ADM TO JOHNSON ADM,11070
SUITS AND CLAIMS,11068
5TH O 16 PAR,11024
1ST S 1 PAR,11006
CITY ADMINISTRATOR,10998
N 3 PAR,10988
Pulitzer Prizes,10966
GIFT TAX,10958
MUSKIE ACTIVITIES,10948
HORTICULTURE,10246
Harness Racing,10240
Walking,10238
Life Insurance,10232
Jewels and Jewelry,10232
MOHAMMEDANISM,10226
PROTESTANT EPISCOPAL CHURCHES,10224
Silver,10224
2D D 6 PAR,10220
Coffee,10216
NATIONAL LEAGUE,10214
"RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES THERE, INCLUDING NEGRO VOTER REGIS DRIVE IN ALABAMA",10208
S VIETNAM POLITICAL CRISIS - NATIONAL ELECTION FOR CONSTITUENT ASSEMBLY PROMISED BY JUNTA FOR AUGUST 15 - ROMAN CATHOLICS REACTION TO BUDDHIST PRESSURES - BUDDHIST LEADER THICH TRI QUANG ROLE - AMBASSADOR LODGE UNEASY OVER VIETCONG ROLE IN ELECTIONS,10198
EMPLOYES (CREWS AND OFFICERS),10198
Containers and Packaging,10194
INDUSTRIAL,10192
SOUTH VIETNAM POLITICAL CRISIS - PREMIER NGUYEN CAO KY STATEMENT ON STAYING IN POWER ANOTHER YEAR - REACTION - JUNTA TROOPS GET CONTROL OF DANANG,10192
WORLD'S FAIR OF 1967 (MONTREAL) (EXPO '67),10184
PHOTOGRAPHY AND PHOTOGRAPHIC EQUIPMENT,10184
Influenza,10184
DEBATE CURBS,10182
"Fishing, Commercial",10180
CANADA-US DEFENSE PROGRAM,10178
BOMBING OF N VIETNAM - AIR STRIKES ON FUEL TANKS CONTINUE,10172
US-USSR-COMMUNIST CHINESE INTERRELATIONS,10166
COLOR TELEVISION,10166
6TH O 23 PAR,10162
RELIGIOUS OBSERVANCES,10162
PUBLICATIONS,10162
Rural Areas,10158
Graduate Schools and Students,10158
"US POLICY - SEN FULBRIGHT CRITICIZES IT IN JOHNS HOPKINS UNIV SPEECH - SEC RUSK DEFENDS IT, SENATE COMMITTEE - PRES JOHNSON AND TOP OFFICIALS REVIEW SITUATION WITH AMB LODGE - JOHNSON CONCERNED OVER CRITICISM - ASKS FOR SUPPORT FROM US SCHOLARS",10156
May Day,10154
EXPRESS AND PKWYS,10152
EVALUATION OF STUDENTS,10150
Nuclear Weapons,10148
Bakeries and Baked Products,10148
Intelligence,10148
O 15,10142
BOMBING OF N VIETNAM - USN ATTACKS ON SHIPPING,10142
COACHES,10142
KENNEDY ADM,10140
REGISTRATION AND CAR LICENSES,10140
HIGH SCHOOLS,10140
PARKS AND PLAYGROUNDS,10132
US POLICY AND REACTION TO IT - R M NIXON CRITICISM OF POLICY AND COUNTERPROPOSALS - PRES JOHNSON SCORES NIXON - AMB HARRISON INFORMS VARIOUS GOVERNMENTS AND POPE ON MANILA CONFERENCE - AMB GOLDBERG MAY GO ON PEACE MISSION - US ELECTIONS AND WAR ISSUE,10128
"MAYORS, US CONFERENCE OF",10126
APRIL 16-30,10124
MAY 1-15,10120
PARLIAMENT,10118
SUPERSONIC LINER PROGRAM,10116
"Revolutionary War, American (1775-83)",10112
Strikes,10110
United States Attorneys,10108
FRENCH POLICY AND ACTION,10106
CASES REFUSED,10104
GEN COMMENT - CAMPAIGN OUTLOOK - 'WHITE BACKLASH' ISSUE - POLLS SHOW WIDE JOHNSON LEAD,10102
LAOTIAN BORDER,10100
REVIEWS REFUSED,10092
HARBOR CRAFT,10086
BIRTHDAY,10086
MARCH 16-31,10084
HUMPHREY TOUR,10078
SCRANTON ACTIVITIES,10062
RESIDENCES,10060
UNITED NATIONS (UN),10006
STATES,9956
Reproduction (Biological),9220
MILITARY ACTION IN S VIETNAM - LUNAR NEW YEAR TRUCE,9210
Weight,9210
COUNTERFEITING,9204
ARCHEOLOGY,9202
COMMODITIES AND COMMODITY EXCHANGES AND BROKERS,9198
SYNAGOGUES AND JEWISH CENTERS,9196
SUNDAY OBSERVANCE,9188
GEOLOGY AND GEOPHYSICS,9186
Flour,9182
ISRAEL‐ARAB CONFLICT,9180
US POLICY - MILD TONE OF NEW USSR CRITICISM NOTED - NEW US MESSAGE TO N VIETNAM PLEDGES STOP OF BOMBING IF INFILTRATION TO S VIETNAM IS STOPPED - REACTION OF VARIOUS GOVERNORS AND CONGRESSMEN TO POLICY,9174
TRANS-PACIFIC,9172
RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES THERE - BODIES OF 3 CIVIL RIGHTS WORKERS DISCOVERED IN MISSISSIPPI,9172
GENERAL RESEARCH AND SPECULATION,9172
Mathematics,9170
2D O 23 PAR,9162
SUBMARINE PROPULSION,9158
VETERANS DAY,9156
VISE PRESIDENTS,9154
NEW YORK JOURNAL-AMERICAN,9152
RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES THERE - TESTS OF CIVIL RIGHTS ACT PUBLIC ACCOMMODATIONS SECTION - FBI DIR HOOVER ATTACKS REV DR KING AS 'NOTORIOUS LIAR',9150
SOYUZ 11,9150
MILITARY ACTION (ARABS VS ISRAEL),9148
Canals,9146
"RACIAL SEGREGATION IN THE SOUTH - DEMONSTRATIONS, VOTER REGIS DRIVES AND OTHER CIVIL RIGHTS ACTIVITIES",9146
"US POLICY, EFFECTS AND REACTION TO IT - INDIAN PRIME MIN GANDHI PEACE EFFORTS - N VIETNAM MOBILIZATION ORDER - SEN FULBRIGHT CONTINUES CRITICISM OF US ADM - CHINA-USSR DISPUTE ON WAR STAND - NGUYEN CAO KY CALL FOR WAR ESCALATION - UN SEC GEN THANT PEACE EFFORTS",9142
CIVIL RIGHTS MOVEMENT AND PROBLEMS (GEN) - CALLS FOR 'BLACK POWER' DIVIDE MAJOR CIVIL RIGHTS LEADERS,9142
"PREMIUMS, COUPONS AND TRADING STAMPS",9140
JE 5 PAR,9136
"BLACKOUTS, REGIONAL",9136
BLINDNESS AND THE BLIND,9134
BRIT-FRENCH RELATIONS,9134
BRITISH-USSR,9132
FRENCH,9132
Libel and Slander,9132
REPORTS,9128
1972 SESSION,9122
ECON CONDITIONS,9120
1ST MAR 16 PAR,9120
ADM,9118
Used Cars,9118
ETHICS AND CORRUPTION,9112
Fish and Other Marine Life,9112
KENNEDY VISIT,9110
Beatifications and Canonizations,9110
CIA ROLE IN LABOR ORGANIZATION ACTIVITIES,9108
GOVERNORS (US STATE),9104
FEDERAL INSTITUTIONS,9102
CARE AND SERVICING,9100
PAPER PAPERBOARD AND PULP,9096
US GEN POLICY AND ACTION,9092
ARAB-ISRAELI DISPUTES,9080
1ST AG 26 PAR,9078
2D AG 1 PAR,9074
CONFLICT OF INTERESTS,9072
CAR EQUIPMENT,9068
EXPORTS,9066
FED-LOCAL GOVT RELATIONS,9058
US AND ALLIED MILITARY BUILD-UP AND WAR COSTS,9054
APRIL 1-15,9034
TROOPS WITHRAWAL,9032
VATICAN-US RELATIONS,9030
JOHNSON VISIT,9026
FRINGE POLITICAL MOVEMENTS (INCLUDING MATERIAL ON CONSERVATISM AND EXTREMISM),9020
HIGH-SPEED PROJECTS,9010
"ETHICS, CORRUPTION, 'MORALITY' ISSUE",9002
NEW MEMBERS,8998
LOCAL TAXING POWERS,8992
AGNEW ACTIVITIES,8900
HUNDRED NEEDIEST CASES (A FUND COLLECTED ANNUALLY BY THE NY TIMES FOR 8 BENEVOLENT ORGNS),8204
VACATIONS,8192
Explosions,8186
PLANTS,8186
Seasons and Months,8180
Uranium,8174
"STAMPS, COVERS AND CACHETS (POSTAL)",8174
"RIOTS IN ROCHESTER, NY, JERSEY CITY, PATERSON AND ELIZABETH, NJ",8174
"INVASION OF CZECH BY MIL FORCES OF USSR AND 4 OTHER WARSAW PACT NATIONS, WORLDWIDE REACTION UNFAVORABLE - REACTIONS OF PRES JOHNSON AND US PRES CANDIDATES",8172
INVASION OF CZECH BY MIL FORCES OF USSR AND 4 OTHER WARSAW PACT NATIONS - WORLDWIDE REACTION UNFAVORABLE - REACTIONS OF PRES JOHNSON AND US PRES CANDIDATES,8170
RUSSIAN,8168
TIDAL WAVES (TSUNAMIS),8168
Citrus Fruits,8166
LUNA 15,8166
EQUIPMENT AND PROCESSES,8162
"FOREIGN INTERESTS, AGENTS OF",8162
HISTORY AND MUSEUMS,8162
NAZI POLICIES AND VICTIMS,8162
TOBACCO AND TOBACCO PRODUCTS,8162
COMMUNIST CHINESE-US RELATIONS - AMERS DEBATE CHINESE INTENTIONS - FULBRIGHT OPENS FOREIGN RELATIONS COM HEARINGS - HUMPHREY SUGGESTS SHIFT IN US STRATEGY,8162
FOREIGN OFFICE AND SERVICE,8160
"RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES THERE, INCLUDING NEGRO VOTER REGIS DRIVES IN ALABAMA",8156
CRUISES (GENERAL),8156
BICENTENNIAL OF INDEPENDENCE (1976),8156
THEORY AND PURE RESEARCH,8156
2D FEB 16 PAR,8152
"Organizations, Societies and Clubs",8150
NEW CIVIL RIGHTS LEGIS (PROPOSED CIVIL RIGHTS ACT OF '66) - HR PASSES BILL,8150
2D JA 1 PAR,8150
Baptist Churches,8150
INVESTMENT TRENDS END OUTLOOK,8148
CHILDREN'S READING,8148
Beaches,8146
DIVIDENDS AND INTEREST,8144
GENERAL ASSEMBLY COMMITTEES,8144
US POLICY AND REACTION TO IT - PRES DE GAULLE PROPOSALS - SEC GEN THANT FEAR OF GLOBAL WAR,8144
ASSEMBLY COMMITTEES,8140
HOLY DAYS,8138
FEDERAL VOTING RIGHTS LEGIS - SEN PASSES BILL AFTER INVOKING CLOSURE ON DEBATE,8138
"CONVENTIONS, NATIONAL",8136
EXPLOSIVES,8134
Wood and Wood Products,8134
Social Conditions and Trends,8134
World War I (1914-18),8134
3D O 23 PAR,8132
"PRODUCTION, SUPPLY AND DISTRIBUTION",8132
Poetry and Poets,8132
FLOOR COVERINGS,8130
Disability Insurance,8126
BRITISH-CHINESE,8126
CHIROPRACTIC AND CHIROPRACTORS,8124
1ST MR 16 PAR,8120
MARINER 6 AND MARINER 7,8120
International Space Cooperation and Ventures,8120
FOUNDATIONS,8114
Archives and Records,8112
WASTE MATERIALS,8110
7TH O 23 PAR,8106
WARREN COMM REPT PUB - REPT SUMMARY TEXT,8106
DEC 1 PAR,8102
Disasters,8102
REPORTS AND REVIEWS,8102
BRUTALITY CHARGES,8098
SAVINGS BONDS,8096
OUTDOOR,8094
HOSP PERSONNEL (NON-PROFESSIONAL),8092
"AGENCIES, SPECIALIZED",8090
SCHOOL BUSES,8090
ROCKEFELLER ACTIVITIES,8082
DEFECTIONS AND DESERTIONS,8082
2D S 1 PAR,8078
REVIEWS AND OTHER DATA AN SPECIFIC PRODUCTIONS,8076
2D MR 1 PAR,8076
PERSONALITY,8076
US POLICY AND CONGRESSIONAL REACTION - US SEN FOREIGN RELATIONS COMMITTEE HEARINGS ON COMMUNIST CHINESE ROLE,8074
OFFICE,8074
JE 1 PAR,8070
Service Industries,8068
1ST JL 1 PAR,8066
DISCOUNT RATE,8066
IMPORTS (GENERAL),8064
US SPACE PROGRAM (GENERAL),8060
GEN EAST-WEST CONFRONTATION - JOHNSON OUTLINES STEPS TOWARD US-E EUR RECONCILIATION - CONFS WITH GROMYKO,8058
